exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,0.11080877613157127,0.0,65000.0,28.0,0.24504999999998944,23.6875,30.3125,27.470000000000027,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25568.0,0.05080569461827284,0.0,0.0,2137.0,0.0,0.0,8248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.2,0.20552027286702537,0.0,65000.0,28.0,0.10404999999999745,24.125,30.3125,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25482.0,0.051134133898438114,0.0,0.0,2199.0,0.0,0.0,9195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.24,0.05,0.0,65000.0,28.0,0.0908499999999961,24.375,30.375,27.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25752.0,0.05086983535259397,0.0,0.0,2221.0,0.0,0.0,9140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.29,0.08532317786150448,0.0,65000.0,28.0,0.08354999999999023,24.5625,30.375,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25277.0,0.051786208806424816,0.0,0.0,2455.0,0.0,0.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.35,0.10409997401585032,0.0,65000.0,28.0,0.04924999999998306,24.75,30.375,27.630000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25686.0,0.051311998754185156,0.0,0.0,2317.0,0.0,0.0,9079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.39,0.10620956216707808,0.0,65000.0,28.0,0.08814999999999372,24.875,30.4375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25139.0,0.05199093042682684,0.0,0.0,2265.0,0.0,0.0,8479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.44,0.0818104456281668,0.0,65000.0,28.0,0.0976499999999885,25.0,30.5,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25996.0,0.05104631481766426,0.0,0.0,2175.0,0.0,0.0,8501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.52,0.05,0.0,65000.0,28.0,0.08854999999998256,25.0625,30.5,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25259.0,0.051902292252266516,0.0,0.0,2279.0,0.0,0.0,7844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.58,0.07282642588021306,0.0,65000.0,28.0,0.10854999999999194,25.1875,30.5625,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,24858.0,0.05277978920267117,0.0,0.0,2045.0,0.0,0.0,7918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.66,0.11549781422820934,0.0,65000.0,28.0,0.09834999999999042,25.25,30.75,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,26015.0,0.05104747261195464,0.0,0.0,2353.0,0.0,0.0,8408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
