exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,0.20781129900076867,0.0,65000.0,28.0,0.0,26.0625,32.1875,26.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11143.0,0.09180651530108588,0.0,0.0,3800.0,0.0,0.0,14269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.17,0.20735491929285166,0.0,65000.0,28.0,0.26844999999998864,26.1875,32.25,27.03000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11351.0,0.09179807946436437,0.0,0.0,3892.0,0.0,0.0,14211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.23,0.19239479246733282,0.0,65000.0,28.0,0.2915499999999872,26.25,32.125,27.230000000000018,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11066.0,0.09262606181095247,0.0,0.0,3671.0,0.0,0.0,14286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.28,0.21327872790161415,0.0,65000.0,28.0,0.18504999999998148,26.4375,32.125,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11001.0,0.09262794291428052,0.0,0.0,3703.0,0.0,0.0,14419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.32,0.2143192736356649,0.0,65000.0,28.0,0.19524999999997988,26.5,32.125,27.49000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11029.0,0.09239278266388612,0.0,0.0,3718.0,0.0,0.0,13927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.4,0.21385376633358955,0.0,65000.0,28.0,0.18804999999997818,26.5,32.1875,27.670000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,10918.0,0.09314892837516028,0.0,0.0,3767.0,0.0,0.0,14054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.47,0.20813989239046887,0.0,65000.0,28.0,0.154949999999985,26.625,32.25,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,10999.0,0.09255386853350304,0.0,0.0,3642.0,0.0,0.0,13941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.55,0.18807744043043811,0.0,65000.0,28.0,0.205449999999976,26.6875,32.125,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11367.0,0.09105304829770387,0.0,0.0,3723.0,0.0,0.0,13722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.59,0.19302459646425826,0.0,65000.0,28.0,0.18294999999998823,26.625,32.1875,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11184.0,0.09164878397711015,0.0,0.0,3758.0,0.0,0.0,14146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.64,0.18675393927747885,0.0,65000.0,28.0,0.20714999999998382,26.625,32.3125,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11193.0,0.09166443312784776,0.0,0.0,3686.0,0.0,0.0,14180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.71,0.1964748270561107,0.0,65000.0,28.0,0.16194999999998572,26.6875,32.1875,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11300.0,0.09115044247787611,0.0,0.0,3760.0,0.0,0.0,13992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.77,0.19899404304381246,0.0,65000.0,28.0,0.2011499999999819,26.6875,32.25,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,11050.0,0.09203619909502263,0.0,0.0,3686.0,0.0,0.0,14176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
