exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,1.6919275929549902,0.0,65000.0,28.0,0.0,28.5625,32.125,24.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.2294193942168307,0.0,65535.0,0.11737239642938888,0.0,0.0,39152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.18,1.69853228962818,0.0,65000.0,28.0,0.6255499999999755,28.4375,32.1875,26.430000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.22590981918059053,0.0,65535.0,0.1168688487067979,0.0,0.0,38208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.26,1.706457925636008,0.0,65000.0,28.0,0.2408499999999838,28.625,32.1875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.22136263065537498,0.0,65535.0,0.11554131380178531,0.0,0.0,37918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,1.6939090019569472,0.0,65000.0,28.0,0.04704999999997589,28.8125,32.1875,28.390000000000043,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.2226596475165942,0.0,65535.0,0.1150835431448844,0.0,0.0,39324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.39,1.6912671232876715,0.0,65000.0,28.0,0.0,28.8125,32.125,28.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.21969939726863508,0.0,65535.0,0.11372549019607843,0.0,0.0,38280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.44,1.6899461839530334,0.0,65000.0,28.0,0.0,28.6875,32.125,28.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.22067597467002364,0.0,65535.0,0.11305409323262379,0.0,0.0,38472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.51,1.6978718199608611,0.0,65000.0,28.0,0.0,28.5,32.125,28.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.21805142290379187,0.0,65535.0,0.1164263370717937,0.0,0.0,38522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.55,1.7011741682974562,0.0,65000.0,28.0,0.029449999999977966,28.3125,32.125,28.470000000000027,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.2199740596627756,0.0,65535.0,0.11494621194781414,0.0,0.0,38452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.59,1.6925880626223093,0.0,65000.0,28.0,0.00334999999997726,28.25,32.25,28.27000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.21382467383840695,0.0,65535.0,0.11483939879453726,0.0,0.0,39022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.63,1.6912671232876715,0.0,65000.0,28.0,0.0,28.125,32.25,28.390000000000043,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.2195925841153582,0.0,65535.0,0.11454947737850003,0.0,0.0,39085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
