exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.13,0.293455582997731,0.0,65000.0,28.0,1.0,25.6875,33.75,25.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.036789501792935074,0.0,17362.0,0.05679069231655339,0.0,0.0,27765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.19,0.30228629977911825,0.0,65000.0,28.0,0.40139999999999104,26.125,33.625,26.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,64964.0,0.03645095745335878,0.0,16800.0,0.056845238095238095,0.0,0.0,28409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.27,0.30129871322240287,0.0,65000.0,28.0,0.11049999999999756,26.5625,33.625,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,63758.0,0.03666990808996518,0.0,16545.0,0.05639165911151405,0.0,0.0,27461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.32,0.3212062426875595,0.0,65000.0,28.0,0.0639999999999955,26.8125,33.625,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.03639276722362097,0.0,16798.0,0.05625669722586022,0.0,0.0,28392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.38,0.2970255455306009,0.0,65000.0,28.0,0.0,26.9375,33.6875,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.03622491798275731,0.0,18092.0,0.05621269069201857,0.0,0.0,28179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.41,0.2961755380476557,0.0,65000.0,28.0,0.06619999999998413,27.0625,33.6875,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,61486.0,0.03675633477539603,0.0,17889.0,0.05545307172005143,0.0,0.0,27452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.48,0.296158356076298,0.0,65000.0,28.0,0.0,27.0625,33.6875,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,63167.0,0.03647474155809204,0.0,17795.0,0.05585838718741219,0.0,0.0,29764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.55,0.30608992662243895,0.0,65000.0,28.0,0.0,27.125,33.75,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,63614.0,0.03645423963278523,0.0,16493.0,0.056933244406718,0.0,0.0,27975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.59,0.29889228837791476,0.0,65000.0,28.0,0.03009999999999082,27.125,33.6875,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.03631647211413749,0.0,17861.0,0.05609988242539612,0.0,0.0,29630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.64,0.30863759860957474,0.0,65000.0,28.0,0.04839999999999095,27.1875,33.75,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65533.0,0.035920833778401724,0.0,16425.0,0.058203957382039574,0.0,0.0,27241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
