exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,0.6156948064968919,0.0,65000.0,28.0,0.0,24.25,34.4375,24.510000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08473334859235523,0.0,43958.0,0.046612675735929754,0.0,0.0,22312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.2,0.6359705233607379,0.0,65000.0,28.0,1.0,25.25,34.4375,25.670000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08398565651941711,0.0,43314.0,0.04686706376691139,0.0,0.0,22822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.25,0.6165610587527571,0.0,65000.0,28.0,0.26379999999999143,26.0625,34.375,27.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08323796444647898,0.0,43223.0,0.04680378502186336,0.0,0.0,22047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.33,0.6112011229195911,0.0,65000.0,28.0,0.09549999999999839,26.4375,34.375,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08168154421301595,0.0,43401.0,0.046796156770581326,0.0,0.0,22736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.38,0.6171836775616604,0.0,65000.0,28.0,0.021699999999995313,26.6875,34.375,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08294804303044175,0.0,43286.0,0.04705909531950284,0.0,0.0,22081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.46,0.6322348105073191,0.0,65000.0,28.0,0.13419999999998422,26.875,34.3125,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08256656748302434,0.0,43445.0,0.046725745195074234,0.0,0.0,23105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.5,0.6297714056547021,0.0,65000.0,28.0,0.07219999999998548,27.0,34.3125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08331425955596246,0.0,43746.0,0.046998582727563666,0.0,0.0,23088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.55,0.6316121916984159,0.0,65000.0,28.0,0.09909999999999541,27.1875,34.3125,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08329900053406576,0.0,43074.0,0.047081766262710684,0.0,0.0,22627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.65,0.6254130739923802,0.0,65000.0,28.0,0.069399999999994,27.1875,34.3125,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08352788586251621,0.0,42782.0,0.04733299051002758,0.0,0.0,22903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.7,0.6213795869260076,0.0,65000.0,28.0,0.13599999999998116,27.25,34.3125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08389410238803692,0.0,43073.0,0.047431105332807096,0.0,0.0,22597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.78,0.6286344495688792,0.0,65000.0,28.0,0.07749999999999259,27.3125,34.25,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08387884336614022,0.0,43940.0,0.047337278106508875,0.0,0.0,22571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.87,0.6213525165430118,0.0,65000.0,28.0,0.03189999999999059,27.1875,34.25,28.190000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08473334859235523,0.0,42496.0,0.047651543674698794,0.0,0.0,23275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.92,0.623897132544616,0.0,65000.0,28.0,0.07689999999999143,27.1875,34.3125,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08467231250476845,0.0,43286.0,0.04749803631659197,0.0,0.0,23394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781.02,0.6140976539001404,0.0,65000.0,28.0,0.0939999999999918,27.25,34.25,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08494697489890898,0.0,43459.0,0.04765411077107159,0.0,0.0,22237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841.12,0.6317475436133948,0.0,65000.0,28.0,0.12699999999999276,27.25,34.3125,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08516060120546273,0.0,50037.0,0.047584787257429505,0.0,0.0,22755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901.21,0.6282825345899339,0.0,65000.0,28.0,0.09409999999998091,27.25,34.3125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08467231250476845,0.0,45240.0,0.04701591511936339,0.0,0.0,22782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961.28,0.5934700220573491,0.0,65000.0,28.0,0.08029999999997925,27.3125,34.25,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08439765011062791,0.0,44185.0,0.047391648749575646,0.0,0.0,22857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.34,0.6207840385001002,0.0,65000.0,28.0,0.07939999999997836,27.25,34.25,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08502327000839247,0.0,43427.0,0.047689225596978836,0.0,0.0,23689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.43,0.6214878684579908,0.0,65000.0,28.0,0.08479999999997685,27.375,34.25,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08537422751201648,0.0,43747.0,0.047614693578988274,0.0,0.0,23949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1141.49,0.6284720272709043,0.0,65000.0,28.0,0.10479999999998624,27.375,34.1875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.086152437628748,0.0,50235.0,0.04765601672140938,0.0,0.0,24011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201.57,0.6243573290555444,0.0,65000.0,28.0,0.07069999999997463,27.375,34.25,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08410772869459068,0.0,44286.0,0.04744162940884252,0.0,0.0,23213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261.66,0.6196741527972729,0.0,65000.0,28.0,0.12189999999998577,27.375,34.1875,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08583199816891737,0.0,44096.0,0.04755533381712627,0.0,0.0,23427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321.73,0.6215690796069782,0.0,65000.0,28.0,0.08599999999997408,27.4375,34.1875,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08543526359960327,0.0,48349.0,0.04730190903638131,0.0,0.0,24484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381.82,0.625169440545418,0.0,65000.0,28.0,0.059199999999981684,27.3125,34.1875,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08516060120546273,0.0,45095.0,0.0475218982148797,0.0,0.0,24444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1441.91,0.6132855424102667,0.0,65000.0,28.0,0.10509999999998257,27.3125,34.1875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08505378805218586,0.0,45469.0,0.04737293540654072,0.0,0.0,23104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1502.07,0.6278494084620012,0.0,65000.0,28.0,0.05679999999998045,27.375,34.1875,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08549629968719005,0.0,45493.0,0.047501813465807924,0.0,0.0,22751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1562.16,0.622218768798877,0.0,65000.0,28.0,0.05619999999998014,27.375,34.25,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.08717479209582665,0.0,45028.0,0.0474593586213023,0.0,0.0,24101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
