exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,0.10170001280483316,0.0,65000.0,28.0,0.3869999999999908,25.375,34.375,26.49000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,24663.0,0.04966954547297571,0.0,8521.0,0.08285412510268748,0.0,0.0,5333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.21,0.0910721709757048,0.0,65000.0,28.0,0.20359999999999162,26.0625,34.3125,27.430000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25104.0,0.04903601019757808,0.0,8573.0,0.08316808585092733,0.0,0.0,4987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.28,0.09313791087436663,0.0,65000.0,28.0,0.09459999999999638,26.5625,34.25,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25193.0,0.04890247290914143,0.0,8564.0,0.08278841662774404,0.0,0.0,5385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.32,0.09620241652591918,0.0,65000.0,28.0,0.04779999999999375,26.625,34.25,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25813.0,0.047999070235927636,0.0,8490.0,0.0839811542991755,0.0,0.0,5051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.4,0.08568857996622059,0.0,65000.0,28.0,0.04359999999999331,26.875,34.3125,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,24837.0,0.049281314168377825,0.0,8748.0,0.08299039780521263,0.0,0.0,5092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.48,0.08957158633233728,0.0,65000.0,28.0,0.0676999999999839,26.875,34.375,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25036.0,0.04904936890877137,0.0,8511.0,0.08400892962049113,0.0,0.0,5129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.52,0.09724015850331298,0.0,65000.0,28.0,0.0,27.0,34.375,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25610.0,0.04841858648965248,0.0,8664.0,0.08367959372114497,0.0,0.0,5043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.6,0.08597602962193063,0.0,65000.0,28.0,0.05839999999998212,26.9375,34.4375,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25473.0,0.048521964432928985,0.0,8645.0,0.08293811451706189,0.0,0.0,5202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.65,0.09443387033909315,0.0,65000.0,28.0,0.06279999999999147,27.0625,34.4375,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,24351.0,0.05018274403515256,0.0,8700.0,0.08356321839080459,0.0,0.0,4968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.7,0.09654833051838377,0.0,65000.0,28.0,0.06309999999999122,27.0,34.5,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,25664.0,0.048199812967581045,0.0,8735.0,0.08288494562106469,0.0,0.0,5314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
