exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.13,0.08231226451864362,0.0,65000.0,28.0,0.0,28.6875,35.125,25.430000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6502.0,0.08382036296524147,0.0,8002.0,0.14758810297425642,0.04711322169457636,0.0,3780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.18,0.0898833961283617,0.0,65000.0,28.0,0.4374999999999478,28.6875,35.125,26.650000000000034,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6494.0,0.08315368032029566,0.0,8039.0,0.14765518099266078,0.04714516730936684,0.0,3928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.25,0.08584935689229568,0.0,65000.0,28.0,0.18719999999994663,28.875,35.125,27.670000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6428.0,0.08354075917859365,0.0,8125.0,0.1465846153846154,0.0464,0.0,3784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.29,0.07299694686241393,0.0,65000.0,28.0,0.02879999999994004,28.9375,35.1875,28.27000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6507.0,0.08191178730597817,0.0,8111.0,0.1465910491924547,0.04463074836641598,0.0,3841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.34,0.08055346238794334,0.0,65000.0,28.0,0.03389999999993937,29.0,35.1875,28.390000000000043,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6568.0,0.08160779537149818,0.0,8222.0,0.14753101435173924,0.04475796643152517,0.0,3948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.38,0.08413927504222424,0.0,65000.0,28.0,0.0,28.9375,35.1875,28.630000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6545.0,0.08143621084797556,0.0,8126.0,0.14681269997538765,0.04442530150135368,0.0,3725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.44,0.08691633103806679,0.0,65000.0,28.0,0.0,28.875,35.1875,28.450000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6487.0,0.08201017419454293,0.0,8057.0,0.14620826610400894,0.04455752761573787,0.0,3736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.49,0.08515265687930362,0.0,65000.0,28.0,0.0,28.75,35.1875,28.370000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6273.0,0.08305435995536425,0.0,7961.0,0.1467152367792991,0.04459238789096847,0.0,3964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.55,0.0860344939586852,0.0,65000.0,28.0,0.001199999999935586,28.6875,35.125,28.370000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6338.0,0.08299147996213317,0.0,8063.0,0.14647153664888998,0.044648393898052835,0.0,3741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.63,0.08399798622840066,0.0,65000.0,28.0,0.04669999999993173,28.5625,35.1875,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6316.0,0.08264724509183027,0.0,7936.0,0.14692540322580644,0.044732862903225805,0.0,3765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.68,0.08499187995322852,0.0,65000.0,28.0,0.0015999999999392056,28.5,35.125,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6458.0,0.08237844533911427,0.0,8203.0,0.1467755699134463,0.044617822747775204,0.0,3834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.78,0.083242821878654,0.0,65000.0,28.0,0.0,28.3125,35.125,28.250000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6383.0,0.08256305812313959,0.0,8068.0,0.14675260287555775,0.04499256321269212,0.0,3841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.83,0.0838810575548915,0.0,65000.0,28.0,0.038799999999940334,28.25,35.125,28.230000000000018,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6457.0,0.0817717206132879,0.0,8074.0,0.1468912558830815,0.04471141937081992,0.0,3925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780.9,0.08262407431466803,0.0,65000.0,28.0,0.0,28.1875,35.125,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6528.0,0.08134191176470588,0.0,8218.0,0.1465076660988075,0.044293015332197615,0.0,3774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840.94,0.0810406651942315,0.0,65000.0,28.0,0.0,28.0625,35.125,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6454.0,0.08196467307096374,0.0,8189.0,0.14678226889730125,0.04469410184393699,0.0,3954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.98,0.07895056515525528,0.0,65000.0,28.0,0.04039999999992693,28.125,35.125,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6455.0,0.0814872192099148,0.0,7926.0,0.14723694171082513,0.04491546807973757,0.0,3902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961.02,0.08275561907236584,0.0,65000.0,28.0,0.06279999999993668,28.0625,35.125,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6478.0,0.08166100648348255,0.0,8047.0,0.1463899589909283,0.045109978874114574,0.0,3853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.09,0.07898466935169546,0.0,65000.0,28.0,0.046299999999935774,27.875,35.125,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6679.0,0.08100014972301242,0.0,8090.0,0.14721878862793572,0.0446229913473424,0.0,3842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.16,0.07798103157074184,0.0,65000.0,28.0,0.05629999999992583,27.9375,35.125,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6653.0,0.08206823989177814,0.0,8305.0,0.14714027694160145,0.04539434075857917,0.0,3752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1141.19,0.08187865402104715,0.0,65000.0,28.0,0.057799999999924474,27.75,35.1875,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6919.0,0.08108108108108109,0.0,8204.0,0.14675767918088736,0.04656265236470015,0.0,4046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201.22,0.07938417565285175,0.0,65000.0,28.0,0.030999999999932082,27.875,35.1875,28.190000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6803.0,0.08246361899162134,0.0,8191.0,0.14650225857648638,0.046514467098034425,0.0,4059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261.3,0.08193711835780172,0.0,65000.0,28.0,0.0574999999999222,27.8125,35.25,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6510.0,0.08310291858678956,0.0,8089.0,0.14736061317839041,0.04673012733341575,0.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321.38,0.079661881252436,0.0,65000.0,28.0,0.08279999999992677,27.875,35.25,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6696.0,0.0822879330943847,0.0,8311.0,0.14787630850679823,0.04692576103958609,0.0,3816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381.46,0.0810698973626088,0.0,65000.0,28.0,0.022999999999918336,27.625,35.3125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6594.0,0.0832575068243858,0.0,8279.0,0.14784394250513347,0.04662398840439667,0.0,3912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1441.54,0.0828189554371833,0.0,65000.0,28.0,0.0,27.6875,35.3125,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6677.0,0.08252209075932306,0.0,8383.0,0.14756053918644876,0.046642013598950254,0.0,3797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1501.61,0.0826338183707938,0.0,65000.0,28.0,0.10239999999991461,27.8125,35.3125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6597.0,0.08337122934667272,0.0,8319.0,0.1473734823897103,0.04676042793605001,0.0,4046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561.65,0.08508444848642327,0.0,65000.0,28.0,0.03739999999991604,27.75,35.3125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6896.0,0.08178654292343387,0.0,8417.0,0.14791493406201733,0.046691220149697045,0.0,3937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621.7,0.08687248278550083,0.0,65000.0,28.0,0.059799999999925794,27.8125,35.3125,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6753.0,0.08248185991411225,0.0,8356.0,0.14779798946864528,0.04667304930588798,0.0,3820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1681.74,0.08631219955826944,0.0,65000.0,28.0,0.0827999999999208,27.4375,35.25,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6712.0,0.08298569725864124,0.0,8461.0,0.14726391679470513,0.04633022101406453,0.0,3815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1741.8,0.08555216318045991,0.0,65000.0,28.0,0.0613999999999144,27.6875,35.3125,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6628.0,0.08328304164152082,0.0,8102.0,0.14724759318686745,0.04690199950629474,0.0,4144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1801.85,0.08558626737690009,0.0,65000.0,28.0,0.02109999999992177,27.5625,35.25,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6782.0,0.08212916543792391,0.0,8406.0,0.14739471805852963,0.04675231977159172,0.0,3911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1861.91,0.0850795764583604,0.0,65000.0,28.0,0.04519999999991236,27.3125,35.3125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6747.0,0.08211056765970061,0.0,8134.0,0.14789771330218834,0.047209245143840665,0.0,4085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1921.96,0.08653144082109912,0.0,65000.0,28.0,0.08199999999992237,27.5625,35.3125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6574.0,0.08290234256160633,0.0,8295.0,0.14719710669077757,0.04689572031344183,0.0,3889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.03,0.0868042743926205,0.0,65000.0,28.0,0.06169999999991071,27.6875,35.3125,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6600.0,0.08363636363636363,0.0,8338.0,0.146677860398177,0.046653873830654835,0.0,4137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042.11,0.0840174743406522,0.0,65000.0,28.0,0.0,27.8125,35.3125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6769.0,0.08258236076229872,0.0,8544.0,0.14665262172284643,0.045997191011235956,0.0,3894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102.16,0.08541087436663634,0.0,65000.0,28.0,0.028599999999917226,27.875,35.3125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6867.0,0.08154943934760449,0.0,8576.0,0.14715485074626866,0.04652518656716418,0.0,3976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2162.23,0.0866970897752371,0.0,65000.0,28.0,0.028899999999916957,27.8125,35.3125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6647.0,0.08349631412667369,0.0,8385.0,0.1471675611210495,0.04686940966010734,0.0,4073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222.29,0.0875448226581785,0.0,65000.0,28.0,0.04249999999990629,27.625,35.3125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6864.0,0.08173076923076923,0.0,8212.0,0.14746712128592304,0.04688261081344374,0.0,3987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2282.33,0.0873353254514746,0.0,65000.0,28.0,0.08019999999991634,27.5625,35.3125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6781.0,0.08214127709777319,0.0,8461.0,0.14690934877674033,0.04633022101406453,0.0,4035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2342.4,0.0869358191503183,0.0,65000.0,28.0,0.06019999999990527,27.8125,35.3125,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6800.0,0.08220588235294117,0.0,8345.0,0.14763331336129418,0.047094068304373876,0.0,4182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402.47,0.08710634013251915,0.0,65000.0,28.0,0.06229999999990421,27.5,35.375,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6954.0,0.0815358067299396,0.0,8181.0,0.1475369759198142,0.047060261581713725,0.0,3842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2462.55,0.08815869819410159,0.0,65000.0,28.0,0.03229999999990222,27.875,35.375,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6888.0,0.08231707317073171,0.0,8277.0,0.14836293342998672,0.046997704482300354,0.0,3915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2522.6,0.08768123944393919,0.0,65000.0,28.0,0.03849999999991165,27.8125,35.375,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6986.0,0.08159175493844832,0.0,8402.0,0.1465127350630802,0.046536538919304926,0.0,4073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2582.64,0.08884078212290503,0.0,65000.0,28.0,0.03519999999991124,27.875,35.375,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6975.0,0.08114695340501792,0.0,8239.0,0.14674110935793178,0.04697171986891613,0.0,3857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2642.72,0.08873359750552162,0.0,65000.0,28.0,0.031599999999910255,27.875,35.3125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6745.0,0.0827279466271312,0.0,8179.0,0.14769531727595062,0.04731629783592126,0.0,3894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
