exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.13,0.05,0.0,65000.0,28.0,1.0,25.0625,33.5625,25.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7419.0,0.10217010378757245,0.0,7535.0,0.12130059721300597,0.04605175846051759,0.0,3473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.2,0.05,0.0,65000.0,28.0,0.24549999999999045,25.75,33.75,27.03000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7062.0,0.10478617955253469,0.0,7447.0,0.12152544648851887,0.04565596884651538,0.0,3745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.27,0.05,0.0,65000.0,28.0,0.10899999999998358,26.3125,33.875,27.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7109.0,0.10479673653115769,0.0,7547.0,0.12163773684907911,0.045448522591758314,0.0,3753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.35,0.05,0.0,65000.0,28.0,0.04789999999998486,26.75,33.9375,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6839.0,0.10717941219476532,0.0,7478.0,0.12182401711687617,0.04573415351698315,0.0,3717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.43,0.05,0.0,65000.0,28.0,0.06169999999998396,27.0625,34.125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7240.0,0.10497237569060773,0.0,7870.0,0.12160101651842439,0.04510800508259212,0.0,3477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.47,0.05,0.0,65000.0,28.0,0.09089999999998924,27.1875,34.1875,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7110.0,0.10632911392405063,0.0,7819.0,0.12149891290446349,0.044762757385854966,0.0,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.51,0.05,0.0,65000.0,28.0,0.04699999999998142,27.4375,34.3125,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7093.0,0.1058790356689694,0.0,7627.0,0.12127966435033434,0.04523403697390848,0.0,3649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.56,0.05,0.0,65000.0,28.0,0.044899999999979914,27.5,34.4375,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6933.0,0.10644742535698831,0.0,7759.0,0.1219229282123985,0.045624436138677664,0.0,3606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.62,0.05,0.0,65000.0,28.0,0.06869999999998498,27.5625,34.5,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6856.0,0.10764294049008168,0.0,7804.0,0.12173244490005125,0.044464377242439776,0.0,3661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.69,0.05,0.0,65000.0,28.0,0.06459999999998871,27.625,34.625,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6876.0,0.10660267597440372,0.0,7707.0,0.12131828208122486,0.04489425197872064,0.0,3708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.73,0.05,0.0,65000.0,28.0,0.07079999999998307,27.6875,34.6875,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7307.0,0.10400985356507458,0.0,7991.0,0.12188712301339007,0.044675259667125516,0.0,3761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.8,0.05,0.0,65000.0,28.0,0.06699999999998738,27.75,34.6875,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,6950.0,0.10719424460431655,0.0,7945.0,0.12070484581497798,0.044430459408432973,0.0,3832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
