exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,0.28170830130668717,0.0,65000.0,28.0,0.0,24.875,25.875,26.730000000000018,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20679.0,0.0713284007930751,0.0,26147.0,0.13512066393850156,0.04283474203541515,0.0,15436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.21,0.2788970023059185,0.0,65000.0,28.0,0.30049999999999555,25.75,26.625,27.410000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20441.0,0.07196321119319016,0.0,25404.0,0.13501810738466383,0.04298535663675012,0.0,15622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.29,0.2823837432744043,0.0,65000.0,28.0,0.15309999999998353,26.1875,27.1875,27.55000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20123.0,0.0721065447497888,0.0,25564.0,0.13562040369269285,0.043342199968705995,0.0,15562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.37,0.2816535357417371,0.0,65000.0,28.0,0.10989999999999525,26.5,27.75,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20245.0,0.07261052111632502,0.0,26094.0,0.1358933088066222,0.042998390434582666,0.0,15629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.42,0.27866881245196,0.0,65000.0,28.0,0.11199999999999505,26.625,28.25,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20797.0,0.07241429052267154,0.0,25985.0,0.13573215316528767,0.04275543582836252,0.0,15781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.46,0.2770806110684089,0.0,65000.0,28.0,0.04689999999999231,26.8125,28.6875,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20705.0,0.07249456652982371,0.0,26387.0,0.13612763860992155,0.042672528138856254,0.0,15546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.51,0.28034828977709453,0.0,65000.0,28.0,0.0567999999999924,26.875,29.125,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20427.0,0.07279580946786117,0.0,25579.0,0.1368309941749091,0.043316783298799795,0.0,16217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.58,0.28222857417371255,0.0,65000.0,28.0,0.10419999999999363,26.8125,29.5,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20336.0,0.0728756884343037,0.0,25304.0,0.1366582358520392,0.0431947518178944,0.0,15842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.64,0.2904160261337433,0.0,65000.0,28.0,0.01849999999997949,27.125,29.8125,28.230000000000018,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20197.0,0.07283259890082686,0.0,26059.0,0.13672819371426378,0.043132890747918186,0.0,15662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.68,0.2818087048424289,0.0,65000.0,28.0,0.08199999999999108,26.9375,30.125,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,21185.0,0.07189048855322162,0.0,26210.0,0.13758107592521937,0.04307516215185044,0.0,15191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.76,0.27861404688701,0.0,65000.0,28.0,0.04959999999998957,27.375,30.375,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19720.0,0.07413793103448275,0.0,25818.0,0.137307304981021,0.04314819118444496,0.0,16264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
