exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,11718.25,0.0,65000.0,28.0,0.0,23.4375,29.125,22.57000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7597.0,0.07581940239568251,0.0,0.0,0.0,0.0,0.0,3302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.19,11703.25,0.0,65000.0,28.0,1.0,23.8125,29.3125,24.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7616.0,0.07589285714285714,0.0,0.0,0.0,0.0,0.0,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.26,11579.25,0.0,65000.0,28.0,0.40544999999999276,24.4375,29.5,26.55000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7615.0,0.07564018384766907,0.0,0.0,0.0,0.0,0.0,3352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.33,12056.5,0.0,65000.0,28.0,0.15814999999999146,24.9375,29.6875,27.670000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7429.0,0.07686095032978867,0.0,0.0,0.0,0.0,0.0,3455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.38,11781.25,0.0,65000.0,28.0,0.02314999999998548,25.4375,29.875,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7583.0,0.07595938283001451,0.0,0.0,0.0,0.0,0.0,3462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.42,11308.5,0.0,65000.0,28.0,0.07844999999999118,25.6875,30.0625,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7663.0,0.07581886989429727,0.0,0.0,0.0,0.0,0.0,3312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.47,11206.5,0.0,65000.0,28.0,0.11324999999999136,25.8125,30.25,27.730000000000018,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7486.0,0.07734437616884851,0.0,0.0,0.0,0.0,0.0,3454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.51,11952.0,0.0,65000.0,28.0,0.018549999999992225,25.875,30.375,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7506.0,0.07647215560884625,0.0,0.0,0.0,0.0,0.0,3371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.57,11030.25,0.0,65000.0,28.0,0.08594999999998948,25.9375,30.5625,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7561.0,0.07670942996958074,0.0,0.0,0.0,0.0,0.0,3444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.61,11031.25,0.0,65000.0,28.0,0.08604999999999366,26.0,30.625,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7380.0,0.07764227642276422,0.0,0.0,0.0,0.0,0.0,3736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.66,11504.75,0.0,65000.0,28.0,0.0887499999999929,26.125,30.75,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7525.0,0.07720930232558139,0.0,0.0,0.0,0.0,0.0,3416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.74,11309.25,0.0,65000.0,28.0,0.1117499999999879,26.125,30.875,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7565.0,0.07680105750165235,0.0,0.0,0.0,0.0,0.0,3422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.82,11184.25,0.0,65000.0,28.0,0.05584999999998019,26.375,31.0,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7355.0,0.07804214819850441,0.0,0.0,0.0,0.0,0.0,3418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780.89,11336.25,0.0,65000.0,28.0,0.09174999999999017,26.3125,31.125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7520.0,0.07712765957446809,0.0,0.0,0.0,0.0,0.0,3550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840.94,10937.0,0.0,65000.0,28.0,0.08004999999998916,26.375,31.1875,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7714.0,0.07661394866476536,0.0,0.0,0.0,0.0,0.0,3516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901.02,11198.25,0.0,65000.0,28.0,0.08384999999998399,26.4375,31.25,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7600.0,0.07723684210526316,0.0,0.0,0.0,0.0,0.0,3532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961.07,11728.0,0.0,65000.0,28.0,0.03294999999998595,26.5,31.3125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7578.0,0.07706518870414357,0.0,0.0,0.0,0.0,0.0,3602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.11,11647.0,0.0,65000.0,28.0,0.03234999999998564,26.4375,31.25,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7702.0,0.07660347961568424,0.0,0.0,0.0,0.0,0.0,3736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.16,11522.5,0.0,65000.0,28.0,0.07444999999997662,26.5625,31.3125,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7405.0,0.07832545577312626,0.0,0.0,0.0,0.0,0.0,3568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1141.2,11548.0,0.0,65000.0,28.0,0.0435499999999746,26.5,31.3125,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7665.0,0.07697325505544683,0.0,0.0,0.0,0.0,0.0,3558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201.27,11079.0,0.0,65000.0,28.0,0.08504999999998035,26.5,31.375,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7715.0,0.07673363577446533,0.0,0.0,0.0,0.0,0.0,3548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261.33,11418.25,0.0,65000.0,28.0,0.012049999999971424,26.5,31.375,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7755.0,0.0769825918762089,0.0,0.0,0.0,0.0,0.0,3820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321.4,11532.0,0.0,65000.0,28.0,0.07704999999998251,26.5,31.4375,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7460.0,0.0777479892761394,0.0,0.0,0.0,0.0,0.0,3405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381.48,11596.0,0.0,65000.0,28.0,0.04324999999997062,26.625,31.5,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7616.0,0.07681197478991597,0.0,0.0,0.0,0.0,0.0,3475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1441.53,11451.5,0.0,65000.0,28.0,0.09174999999998165,26.625,31.5625,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7587.0,0.07723737972848294,0.0,0.0,0.0,0.0,0.0,3365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
