exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.16,7843.25,0.0,65000.0,37.0,1.0,25.4375,34.5,27.29000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7415.0,0.09265003371544167,0.0,7976.0,1.226554663991976,0.1300150451354062,21596.0,0.22268012594924985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.25,8163.0,0.0,65000.0,37.0,1.0,26.0,34.5,28.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7358.0,0.09268823049741777,0.0,7912.0,1.2237108190091002,0.1301820020222447,21365.0,0.22223262344956704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.33,7911.25,0.0,65000.0,37.0,1.0,26.75,34.5,31.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7248.0,0.0935430463576159,0.0,7846.0,1.2273770073923018,0.13038490950802956,21040.0,0.2223384030418251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.4,8023.75,0.0,65000.0,37.0,1.0,27.5625,34.5625,32.97000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7240.0,0.09378453038674033,0.0,7816.0,1.2260747185261003,0.13101330603889458,21021.0,0.22111222111222112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.49,8084.75,0.0,65000.0,37.0,0.4478499999999994,28.5,34.5,35.59000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7128.0,0.0946969696969697,0.0,7750.0,1.2269677419354839,0.13135483870967743,20734.0,0.22152020835342914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.55,7846.75,0.0,65000.0,37.0,0.4395499999999868,29.25,34.5,35.51000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7164.0,0.09519821328866555,0.0,7834.0,1.226193515445494,0.13096757722747,20867.0,0.22154598169358317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.59,7613.5,0.0,65000.0,37.0,0.37524999999999153,29.8125,34.4375,35.83000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7203.0,0.09523809523809523,0.0,7923.0,1.2259245235390634,0.13126341032437208,21050.0,0.22114014251781472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.63,7588.5,0.0,65000.0,37.0,0.2679499999999908,30.25,34.4375,36.47000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7221.0,0.09541614734801274,0.0,7942.0,1.2256358599848904,0.13132712163183077,21090.0,0.22133712660028448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.7,7585.75,0.0,65000.0,37.0,0.28014999999998424,30.5625,34.4375,36.650000000000034,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7246.0,0.09577698040298095,0.0,8004.0,1.2246376811594204,0.13093453273363317,21216.0,0.2214366515837104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.76,7579.0,0.0,65000.0,37.0,0.2047499999999894,30.75,34.5,36.370000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7226.0,0.09659562690285081,0.0,8003.0,1.2237910783456203,0.13107584655754093,21224.0,0.22088202035431587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.81,7517.5,0.0,65000.0,37.0,0.29024999999999207,31.0,34.4375,36.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7248.0,0.09644039735099338,0.0,8087.0,1.2243106219859032,0.1310745641152467,21305.0,0.22116873973245718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.85,7468.0,0.0,65000.0,37.0,0.23834999999998924,31.125,34.5,36.97000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7303.0,0.09639874024373545,0.0,8133.0,1.2247633099717201,0.13082503381286117,21458.0,0.22103644328455588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.92,7290.5,0.0,65000.0,37.0,0.20394999999999208,31.1875,34.4375,36.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7298.0,0.09660180871471637,0.0,8160.0,1.226593137254902,0.13088235294117648,21494.0,0.22122452777519308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780.96,7296.5,0.0,65000.0,37.0,0.2257499999999873,31.3125,34.4375,36.57000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7308.0,0.0966064586754242,0.0,8181.0,1.226989365603227,0.13140202909179807,21629.0,0.22109205233713994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841.03,7306.75,0.0,65000.0,37.0,0.25654999999998207,31.375,34.4375,36.85000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7398.0,0.09637739929710733,0.0,8296.0,1.2260125361620058,0.13078592092574734,21836.0,0.22105697014105147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901.1,7115.75,0.0,65000.0,37.0,0.23184999999999029,31.4375,34.4375,36.97000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7386.0,0.09707554833468725,0.0,8256.0,1.2263808139534884,0.13069282945736435,21718.0,0.22083064738926236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961.17,7269.25,0.0,65000.0,37.0,0.12824999999998077,31.4375,34.375,37.33000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7509.0,0.09628445864962046,0.0,8368.0,1.2289674952198852,0.13073613766730402,21986.0,0.22095879195851906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.25,7157.5,0.0,65000.0,37.0,0.14584999999997555,31.5,34.375,36.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7463.0,0.0967439367546563,0.0,8394.0,1.2246842983083155,0.13080771979985703,21987.0,0.22067585391367625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.32,7066.25,0.0,65000.0,37.0,0.3016499999999853,31.625,34.375,37.01000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7475.0,0.09672240802675586,0.0,8408.0,1.2257373929590867,0.1304709800190295,22077.0,0.2210445259772614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1141.39,6956.25,0.0,65000.0,37.0,0.1144499999999774,31.6875,34.4375,37.33000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7535.0,0.09648307896483078,0.0,8472.0,1.2273371104815864,0.130547686496695,22153.0,0.22073759761657563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201.45,6786.0,0.0,65000.0,37.0,0.23564999999998085,31.625,34.5,36.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7590.0,0.09631093544137022,0.0,8525.0,1.2235777126099707,0.13032258064516128,22229.0,0.2208376445184219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261.52,6931.5,0.0,65000.0,37.0,0.21874999999997377,31.6875,34.4375,37.03000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7569.0,0.0964460298586339,0.0,8569.0,1.2297817715019255,0.1305869996499008,22363.0,0.2212136117694406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321.58,6566.25,0.0,65000.0,37.0,0.24134999999997908,31.6875,34.5,36.73000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7682.0,0.09606873210101537,0.0,8640.0,1.2251157407407407,0.12997685185185184,22465.0,0.22078789227687515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381.65,6508.25,0.0,65000.0,37.0,0.0,31.75,34.5625,38.09000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7685.0,0.09629147690305791,0.0,8668.0,1.2225426857406554,0.13036455929856944,22505.0,0.22039546767385026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1441.73,6348.25,0.0,65000.0,37.0,0.24884999999997795,31.8125,34.5625,36.81,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7752.0,0.09623323013415892,0.0,8725.0,1.2249856733524356,0.13031518624641833,22645.0,0.22066681386619563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1501.76,6524.75,0.0,65000.0,37.0,0.24164999999997624,31.8125,34.5625,37.29000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7784.0,0.09635149023638233,0.0,8782.0,1.2279662946936916,0.13026645411068094,22751.0,0.22122104522878117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561.83,6225.25,0.0,65000.0,37.0,0.1528499999999723,31.8125,34.5,36.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7849.0,0.09593578799847115,0.0,8817.0,1.2276284450493364,0.13008959963706476,22918.0,0.2203944497774675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621.91,6330.75,0.0,65000.0,37.0,0.2076499999999685,31.75,34.5,37.27000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7918.0,0.09598383430159131,0.0,8910.0,1.2265993265993267,0.13007856341189675,23089.0,0.22045129715448916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1681.97,6325.75,0.0,65000.0,37.0,0.07014999999997218,31.8125,34.5,37.25000000000006,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,8081.0,0.09516148991461452,0.0,9022.0,1.2246730215029926,0.12990467745510972,23256.0,0.21981424148606812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742.05,6066.5,0.0,65000.0,37.0,0.18544999999996592,31.8125,34.5,37.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7991.0,0.09523213615317232,0.0,8973.0,1.2274601582525353,0.13005683717820127,23212.0,0.2202309150439428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802.09,5939.75,0.0,65000.0,37.0,0.18714999999997517,31.8125,34.5,36.73000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,8089.0,0.09506737544813945,0.0,9117.0,1.2290227048371174,0.13008665131073818,23400.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1862.12,5943.5,0.0,65000.0,37.0,0.29324999999997337,31.75,34.5,36.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,8038.0,0.09529733764618065,0.0,9044.0,1.2255639097744362,0.12992038920831492,23404.0,0.22021876602290208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1922.19,5817.25,0.0,65000.0,37.0,0.1254499999999611,31.8125,34.5625,37.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,8207.0,0.09479712440599489,0.0,9174.0,1.2211685197296709,0.12971441028994987,23649.0,0.2195441667723794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.26,5762.75,0.0,65000.0,37.0,0.14894999999996558,31.75,34.5,36.650000000000034,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,8173.0,0.09506913006240059,0.0,9177.0,1.221314154952599,0.12978097417456685,23528.0,0.2194406664399864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042.34,5839.0,0.0,65000.0,37.0,0.27714999999995954,31.75,34.5,36.85000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,8334.0,0.09431245500359971,0.0,9293.0,1.2172603034542129,0.12923706015280317,23547.0,0.21947594173355417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102.42,5535.75,0.0,65000.0,37.0,0.12424999999995792,31.8125,34.5,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,8414.0,0.09448538150701212,0.0,9387.0,1.2242462980718014,0.12964738468094172,24081.0,0.21925999750840913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
