species,reactor,sample_time,average,stdev,count,dilution
ct,acetate,0.0,2466666.6666666665,702376.9168568492,16|9|12,-3
ct,acetate,15.5,43333333.333333336,7571877.794400365,20|19|26,-4
ct,acetate,24.0,420000000.0,40000000.00000003,21|23|19,-5
ct,acetate,39.5,506666666.66666657,161658075.37309518,30|30|16,-5
ct,acetate,63.5,213333333.3333333,30550504.63303895,9|11|12,-5
ct,acetate,70.5,953333333.3333334,64291005.07328637,44|49|50,-5
at,acetate,0.0,1200000.0,346410.16151377547,5|5|8,-3
at,acetate,15.5,15333333.333333334,6429100.507328637,10|9|4,-4
at,acetate,24.0,18666666.666666668,3055050.4633038933,11|9|8,-4
at,acetate,39.5,1000000.0,200000.0,6|4|5,-3
at,acetate,63.5,466666.6666666667,305505.04633038933,2|1|4,-3
at,acetate,70.5,2066666.6666666667,230940.1076758503,9|11|11,-3
oa,acetate,0.0,466666.6666666667,305505.04633038933,1|2|4,-3
oa,acetate,15.5,3333333.3333333335,2309401.076758503,1|3|1,-4
oa,acetate,24.0,73333333.33333333,41633319.989322655,6|3|2,-5
oa,acetate,39.5,86666666.66666666,23094010.76758502,5|3|5,-5
oa,acetate,63.5,3133333.3333333335,1404753.8337136984,15|9|23,-3
oa,acetate,70.5,24666666.666666668,4163331.9989322657,14|10|13,-4
ml,acetate,0.0,2400000.0,871779.7887081347,17|10|9,-3
ml,acetate,15.5,7333333.333333333,2309401.076758503,3|3|5,-4
ml,acetate,24.0,15333333.333333334,7023769.168568493,11|4|8,-4
ml,acetate,39.5,5333333.333333333,2309401.076758503,4|2|2,-4
ml,acetate,63.5,800000.0,0.0,4|4|4,-3
ml,acetate,70.5,4000000.0,2000000.0,1|2|3,-4
