species,reactor,sample_time,average,stdev,count,dilution
ct,glutaric acid,0.0,1000000.0,200000.0,6|5|4,-3
ct,glutaric acid,15.5,3866666.6666666665,832666.3997864531,18|16|24,-3
ct,glutaric acid,24.0,35333333.333333336,15011106.99893027,9|22|22,-4
ct,glutaric acid,39.5,28000000.0,17088007.490635063,6|23|13,-4
ct,glutaric acid,46.5,146666666.66666666,64291005.07328637,5|6|11,-5
ct,glutaric acid,63.5,42000000.0,2000000.0,22|20|21,-4
ct,glutaric acid,70.5,113333333.33333331,57735026.91896257,4|9|4,-5
at,glutaric acid,0.0,2533333.3333333335,503322.29568471666,10|15|13,-3
at,glutaric acid,15.5,1133333.3333333333,577350.2691896257,4|4|9,-3
at,glutaric acid,24.0,4000000.0,2000000.0,2|1|3,-4
at,glutaric acid,39.5,4000000.0,2000000.0,1|3|2,-4
at,glutaric acid,46.5,10000000.0,3464101.6151377545,4|4|7,-4
at,glutaric acid,63.5,6000000.0,2000000.0,4|3|2,-4
at,glutaric acid,70.5,4933333.333333333,115470.05383792515,25|25|24,-3
oa,glutaric acid,0.0,400000.0,200000.0,3|1|2,-3
oa,glutaric acid,15.5,1066666.6666666667,503322.29568471666,8|5|3,-3
oa,glutaric acid,24.0,14666666.666666666,8326663.997864531,12|6|4,-4
oa,glutaric acid,39.5,22000000.0,2000000.0,10|11|12,-4
oa,glutaric acid,46.5,54000000.0,10000000.0,27|22|32,-4
oa,glutaric acid,63.5,99999999.99999999,20000000.000000007,5|6|4,-5
oa,glutaric acid,70.5,133333333.33333331,46188021.535170056,4|8|8,-5
ml,glutaric acid,0.0,12000000.0,2000000.0,6|5|7,-4
ml,glutaric acid,15.5,2866666.6666666665,416333.19989322656,12|15|16,-3
ml,glutaric acid,24.0,6666666.666666667,3055050.4633038933,5|3|2,-4
ml,glutaric acid,39.5,1333333.3333333333,305505.04633038933,5|8|7,-3
ml,glutaric acid,46.5,2533333.3333333335,832666.3997864531,16|8|14,-3
ml,glutaric acid,63.5,1000000.0,400000.0,3|5|7,-3
ml,glutaric acid,70.5,2200000.0,200000.0,12|11|10,-3
