species,reactor,sample_time,average,stdev,count,dilution
ct,histidine,0.0,3000000.0,871779.7887081347,17|18|10,-3
ct,histidine,15.5,1866666.6666666667,230940.1076758503,8|10|10,-3
ct,histidine,24.0,4466666.666666667,702376.9168568492,22|19|26,-3
ct,histidine,39.5,2266666.6666666665,1205542.7546683417,17|5|12,-3
ct,histidine,46.5,16666666.666666666,6429100.507328637,6|12|7,-4
ct,histidine,63.5,6866666.666666667,1446835.627614047,38|39|26,-3
ct,histidine,70.5,15333333.333333334,5033222.956847167,10|5|8,-4
at,histidine,0.0,1466666.6666666667,416333.19989322656,8|9|5,-3
at,histidine,15.5,8666666.666666666,4618802.153517006,3|3|7,-4
at,histidine,24.0,27333333.333333332,4163331.9989322657,13|16|12,-4
at,histidine,39.5,46666666.666666664,11547005.38379252,2|3|2,-5
at,histidine,46.5,106666666.66666666,30550504.63303894,4|5|7,-5
at,histidine,63.5,133333333.33333333,75718777.94400366,11|5|4,-5
at,histidine,70.5,286666666.6666666,11547005.38379248,14|14|15,-5
oa,histidine,0.0,400000.0,200000.0,3|1|2,-3
oa,histidine,15.5,18000000.0,4000000.0,7|11|9,-4
oa,histidine,24.0,99999999.99999999,34641016.15137755,4|7|4,-5
oa,histidine,39.5,79999999.99999999,34641016.151377544,5|2|5,-5
oa,histidine,46.5,306666666.6666666,83266639.97864528,20|12|14,-5
oa,histidine,63.5,199999999.99999997,20000000.000000015,9|10|11,-5
oa,histidine,70.5,353333333.3333333,70237691.68568492,21|14|18,-5
ml,histidine,0.0,3333333.3333333335,416333.19989322656,15|16|19,-3
ml,histidine,15.5,7333333.333333333,2309401.076758503,5|3|3,-4
ml,histidine,24.0,10666666.666666666,3055050.4633038933,7|5|4,-4
ml,histidine,39.5,1133333.3333333333,230940.1076758503,5|5|7,-3
ml,histidine,46.5,6666666.666666667,3055050.4633038933,2|3|5,-4
ml,histidine,63.5,1066666.6666666667,305505.04633038933,7|5|4,-3
ml,histidine,70.5,4000000.0,2000000.0,3|2|1,-4
