species,reactor,sample_time,average,stdev,count,dilution
ct,no carbon source,0.0,4266666.666666667,832666.3997864531,18|20|26,-3
ct,no carbon source,18.8,3133333.3333333335,305505.04633038933,16|14|17,-3
ct,no carbon source,24.4,2400000.0,200000.0,12|11|13,-3
ct,no carbon source,43.4,866666.6666666666,115470.05383792515,4|5|4,-3
ct,no carbon source,48.5,1933333.3333333333,832666.3997864531,11|5|13,-3
ct,no carbon source,67.5,1533333.3333333333,115470.05383792515,8|7|8,-3
ct,no carbon source,71.3,2400000.0,200000.0,12|11|13,-3
at,no carbon source,0.0,16000000.0,3464101.6151377545,7|7|10,-4
at,no carbon source,18.8,13333333.333333334,4163331.9989322657,6|9|5,-4
at,no carbon source,24.4,10000000.0,4000000.0,5|3|7,-4
at,no carbon source,43.4,4666666.666666667,2309401.076758503,3|3|1,-4
at,no carbon source,48.5,3000000.0,721110.2550927978,16|11|18,-3
at,no carbon source,67.5,8000000.0,3464101.6151377545,6|3|3,-4
at,no carbon source,71.3,4666666.666666667,3055050.4633038933,2|4|1,-4
oa,no carbon source,0.0,19999999.999999996,0.0,1|1|1,-5
oa,no carbon source,18.8,12000000.0,7211102.550927979,3|5|10,-4
oa,no carbon source,24.4,2666666.6666666665,1154700.5383792515,1|2|1,-4
oa,no carbon source,43.4,5333333.333333333,3055050.4633038933,3|4|1,-4
oa,no carbon source,48.5,3333333.3333333335,1154700.5383792515,1|2|2,-4
oa,no carbon source,67.5,6000000.0,3464101.6151377545,5|2|2,-4
oa,no carbon source,71.3,4666666.666666667,2309401.076758503,3|1|3,-4
ml,no carbon source,0.0,33333333.33333333,11547005.383792514,2|1|2,-5
ml,no carbon source,18.8,4000000.0,2000000.0,2|3|1,-4
ml,no carbon source,24.4,2000000.0,0.0,1|1|1,-4
ml,no carbon source,43.4,533333.3333333334,115470.05383792515,3|2|3,-3
ml,no carbon source,48.5,333333.3333333333,230940.1076758503,1|3|1,-3
ml,no carbon source,67.5,600000.0,200000.0,2|3|4,-3
ml,no carbon source,71.3,466666.6666666667,115470.05383792515,2|3|2,-3
