species,reactor,sample_time,average,stdev,count,dilution
ct,ribose,0.0,866666.6666666666,115470.05383792515,4|4|5,-3
ct,ribose,15.5,1466666.6666666667,832666.3997864531,4|6|12,-3
ct,ribose,24.0,2066666.6666666667,115470.05383792515,11|10|10,-3
ct,ribose,39.5,266666.6666666667,115470.05383792515,2|1|1,-3
ct,ribose,46.5,2866666.6666666665,702376.9168568492,11|14|18,-3
ct,ribose,63.5,2733333.3333333335,503322.29568471666,14|16|11,-3
ct,ribose,70.5,866666.6666666666,230940.1076758503,5|5|3,-3
at,ribose,0.0,3133333.3333333335,416333.19989322656,14|18|15,-3
at,ribose,15.5,26000000.0,6000000.0,13|16|10,-4
at,ribose,24.0,93333333.33333333,23094010.76758504,6|4|4,-5
at,ribose,39.5,53333333.33333333,11547005.38379252,3|3|2,-5
at,ribose,46.5,66666666.666666664,46188021.53517006,2|2|6,-5
at,ribose,63.5,59999999.99999999,19999999.999999996,3|2|4,-5
at,ribose,70.5,153333333.3333333,46188021.535170056,5|9|9,-5
oa,ribose,0.0,533333.3333333334,115470.05383792515,3|2|3,-3
oa,ribose,15.5,10000000.0,2000000.0,6|4|5,-4
oa,ribose,24.0,17333333.333333332,3055050.4633038933,7|10|9,-4
oa,ribose,39.5,23333333.333333332,7571877.794400365,10|16|9,-4
oa,ribose,46.5,66666666.666666664,11547005.383792507,3|4|3,-5
oa,ribose,63.5,39333333.333333336,7571877.794400365,24|18|17,-4
oa,ribose,70.5,140000000.0,72111025.50927979,11|6|4,-5
ml,ribose,0.0,19333333.333333332,10066445.913694333,5|9|15,-4
ml,ribose,15.5,3333333.3333333335,1154700.5383792515,2|2|1,-4
ml,ribose,24.0,5333333.333333333,3055050.4633038933,4|1|3,-4
ml,ribose,39.5,2333333.3333333335,642910.0507328637,14|13|8,-3
ml,ribose,46.5,3000000.0,871779.7887081347,12|13|20,-3
ml,ribose,63.5,1000000.0,871779.7887081347,2|3|10,-3
ml,ribose,70.5,2666666.6666666665,1154700.5383792515,2|1|1,-4
