exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.16,0.07892620501494087,0.0,65000.0,28.0,0.0,24.3125,31.1875,22.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,34228.0,0.08095711113708075,0.0,10398.0,0.08366993652625505,0.0,0.0,13505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.24,0.07856080291022474,0.0,65000.0,28.0,1.0,24.625,31.1875,25.190000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35378.0,0.07742099609927074,0.0,11113.0,0.08233600287951048,0.0,0.0,14178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.29,0.07842925815252694,0.0,65000.0,28.0,0.3554999999999893,25.3125,31.125,26.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35071.0,0.07633087166034616,0.0,10627.0,0.08309024183683071,0.0,0.0,13343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.37,0.08943516954657658,0.0,65000.0,28.0,0.15459999999998503,25.875,31.3125,27.590000000000032,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,33964.0,0.07758214580143681,0.0,11165.0,0.08222122704881325,0.0,0.0,13194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.42,0.0774840847083279,0.0,65000.0,28.0,0.05199999999999477,26.125,31.375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,34296.0,0.07671448565430371,0.0,10226.0,0.08517504400547624,0.0,0.0,13446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.5,0.07623197349616732,0.0,65000.0,28.0,0.08179999999998529,26.25,31.375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35516.0,0.0746705710102489,0.0,10502.0,0.0841744429632451,0.0,0.0,13966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.58,0.07572041054956474,0.0,65000.0,28.0,0.022599999999992237,26.375,31.375,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,34660.0,0.07599538372763993,0.0,10056.0,0.08581941129673827,0.0,0.0,13255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.62,0.07009321813693645,0.0,65000.0,28.0,0.03669999999999192,26.375,31.3125,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35405.0,0.07513063126677023,0.0,10918.0,0.08426451731086279,0.0,0.0,13748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.67,0.07550116928673509,0.0,65000.0,28.0,0.1014999999999941,26.3125,31.3125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35814.0,0.07418886468978611,0.0,10595.0,0.08419065596979708,0.0,0.0,13068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.74,0.07613453293490968,0.0,65000.0,28.0,0.08829999999999275,26.25,31.375,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35686.0,0.07465112368996245,0.0,10506.0,0.08509423186750428,0.0,0.0,13049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.81,0.07021989086657138,0.0,65000.0,28.0,0.12839999999998897,26.3125,31.3125,27.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,34711.0,0.0759989628647979,0.0,10436.0,0.08518589497891912,0.0,0.0,13016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.89,0.07598350006496035,0.0,65000.0,28.0,0.09229999999998173,26.25,31.25,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35970.0,0.07381150959132611,0.0,10241.0,0.0855385216287472,0.0,0.0,13747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.93,0.07025399506301154,0.0,65000.0,28.0,0.07819999999998034,26.3125,31.3125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35476.0,0.07458563535911603,0.0,11086.0,0.0836189788922966,0.0,0.0,14170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780.98,0.07387391191373262,0.0,65000.0,28.0,0.09469999999997955,26.25,31.25,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35948.0,0.07374541003671971,0.0,10458.0,0.08491107286288009,0.0,0.0,13526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841.05,0.0771430427439262,0.0,65000.0,28.0,0.10499999999998355,26.25,31.1875,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,36525.0,0.07282683093771389,0.0,10288.0,0.08582814930015552,0.0,0.0,14155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901.11,0.07828796933870337,0.0,65000.0,28.0,0.05259999999998602,26.25,31.125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35858.0,0.0740141669920241,0.0,10691.0,0.08521186044336358,0.0,0.0,13255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961.15,0.08014421203066127,0.0,65000.0,28.0,0.06259999999997608,26.1875,31.1875,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35568.0,0.07475820962663068,0.0,10857.0,0.08427742470295661,0.0,0.0,13297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.19,0.0747265168247369,0.0,65000.0,28.0,0.16599999999997328,26.125,31.125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35272.0,0.07464844635971876,0.0,10765.0,0.08462610311193683,0.0,0.0,13680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.28,0.08170326101078342,0.0,65000.0,28.0,0.10279999999997476,26.125,31.1875,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35203.0,0.07487998181973127,0.0,10612.0,0.08518658122879759,0.0,0.0,13955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1141.34,0.080938352604911,0.0,65000.0,28.0,0.09429999999998334,26.125,31.125,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,37176.0,0.07190122659780504,0.0,10967.0,0.08379684508069664,0.0,0.0,14005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201.38,0.08156197219695985,0.0,65000.0,28.0,0.11109999999998313,26.125,31.125,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,36908.0,0.07204400130053105,0.0,10242.0,0.08611599297012303,0.0,0.0,13475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261.45,0.08549369884370533,0.0,65000.0,28.0,0.059299999999970834,26.1875,31.1875,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,35213.0,0.07471672393718229,0.0,11137.0,0.08359522313010685,0.0,0.0,13394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
