Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7	F2	F3	F4
0:08:17	20360	19881	19712	19784	19724	19166	18080	17862	18052	13129	13156	12870	-9	-6	-15	-3	7	9	7	0	2	13	24	37	4	-5	0
0:18:17	19947	19316	18847	19034	19000	18311	18271	18043	17994	13001	12976	13023	-7	-4	-2	7	10	16	15	7	6	18	31	19	3	-6	3
0:28:17	18688	18755	18638	18125	18150	18136	18326	17942	18048	13163	13152	12919	-13	-1	-3	-19	-2	20	2	5	8	20	29	33	0	7	-6
0:38:17	18234	18485	18340	17645	17915	17834	18397	18237	18094	13399	13324	13132	8	-3	3	1	13	20	20	12	20	33	24	34	-4	-5	9
0:48:17	18035	18205	17772	17588	17486	17456	18430	18578	18315	13484	13490	13138	-5	-4	0	1	23	12	16	8	8	29	40	22	-13	3	9
0:58:17	17757	17359	17321	17211	17357	17054	18676	18618	18463	13504	13701	13353	20	5	1	9	8	15	22	16	7	38	25	22	-4	-1	4
1:08:17	17467	17272	17156	16813	16976	16800	18970	18704	18550	13925	13908	13452	-2	0	9	4	17	11	9	0	12	17	29	28	-1	-8	9
1:18:17	17316	16984	16923	16795	16634	16646	19240	18994	18905	14081	14089	13695	-4	-9	-3	-19	-5	5	1	26	11	10	31	10	1	-1	1
1:28:17	16737	16592	16460	16786	16596	16702	19364	19399	19158	14266	14370	13913	0	-11	-2	-11	10	23	18	23	15	41	33	28	7	-3	-5
1:38:17	16923	16552	16258	16449	16411	16409	19955	19529	19523	14711	14608	14039	-10	-12	2	1	13	17	19	18	19	30	10	28	-6	9	-2
1:48:17	16495	16305	16315	16345	16394	16218	20233	19967	20099	15040	14764	14421	2	-1	10	-7	15	26	26	24	23	27	32	44	0	1	0
1:58:17	16696	16402	16100	16289	16303	15884	20734	20468	20298	15339	15171	14744	4	9	4	1	5	9	19	11	24	15	36	37	-2	-6	8
2:08:17	16481	16050	15915	15978	15914	15646	21124	21186	20744	15782	15708	14887	-2	-9	-3	-6	-3	6	7	6	10	18	34	26	2	-2	1
2:18:17	16344	15828	15422	16111	15926	15765	21731	21487	21322	16218	15921	15262	-10	-10	1	-6	-4	-4	20	19	3	35	54	14	2	-3	2
2:28:17	15991	15625	15440	15882	15709	15520	22191	22147	21772	16577	16390	15685	-14	-4	-9	-8	16	5	11	12	19	21	45	33	2	-5	3
2:38:17	16034	15709	15474	15651	15481	15253	22753	22823	22934	17213	17049	16175	-3	-6	2	-1	-3	16	20	16	18	24	22	35	-9	4	6
2:48:17	15919	15495	15303	15699	15840	15310	23210	23130	23226	17793	17518	16590	-10	-4	3	-6	1	4	18	0	21	18	17	41	-3	1	2
2:58:17	15967	15757	15425	15637	15499	15312	23979	24158	23904	18281	17973	16847	-11	-3	9	-7	18	18	29	13	26	25	39	34	-6	9	-2
3:08:17	15953	15600	15457	15684	15524	15084	24670	24479	24623	18544	18338	17653	0	1	4	5	3	12	23	9	9	32	38	44	-7	3	4
3:18:17	15969	15726	15452	15645	15594	15212	24944	25235	25495	19627	18986	18256	0	0	-2	1	12	7	34	9	12	27	39	49	-6	-4	9
3:28:17	15970	15706	15390	15956	15516	15255	25725	26101	25659	19912	19510	18608	-2	16	10	-12	13	7	20	16	16	29	30	34	-1	7	-6
3:38:17	16070	15777	15536	15773	15579	15130	26430	26838	27051	20641	20220	19112	-12	11	1	5	6	5	27	20	4	17	29	19	2	-2	0
3:48:17	16097	15604	15588	16220	15737	15535	27226	27396	27559	21253	20476	19542	2	-5	-12	2	17	12	16	11	4	22	21	35	-1	1	1
3:58:17	15996	15469	15405	16628	15874	15766	27485	27780	28114	21858	21180	20269	0	10	-2	8	9	2	20	14	12	40	40	34	3	3	-6
4:08:17	15997	15541	15316	16499	16087	16046	28063	28493	28648	22654	21695	20970	-11	-7	-11	0	12	16	29	21	27	20	33	39	-1	-1	3
4:18:17	16277	15688	15361	16721	16334	16083	28683	29543	29726	23210	22417	21748	-2	-3	-12	3	6	10	14	14	14	23	21	34	1	2	-2
4:28:17	16197	15649	15695	16922	16502	16254	29826	30321	30294	23672	23012	22145	-3	-3	-10	0	1	23	18	17	13	31	27	32	-3	4	-2
4:38:17	16317	15711	16021	17024	16693	16591	30282	30956	31055	24388	23838	22971	-2	-7	6	7	14	13	26	18	25	24	38	44	-3	6	-2
4:48:17	16217	15620	16154	17432	17120	16923	31054	31984	32538	24888	24363	23547	-3	-9	1	3	13	28	7	14	22	26	34	35	-1	-7	9
4:58:17	16654	16011	16527	17545	17117	16846	32085	33026	33244	25830	24807	24380	-2	-11	-15	-4	-3	7	19	11	30	27	33	28	5	-4	0
5:08:17	16678	16197	16297	17771	17351	17202	33607	34241	33993	26396	25251	24837	14	-6	6	8	22	22	23	29	18	35	42	44	0	-6	6
5:18:17	16876	16487	16351	17851	17374	17180	34068	34693	34750	26841	26084	25354	-8	-5	-17	-12	-10	0	8	4	2	25	22	7	1	-4	3
5:28:17	17185	16631	16624	18025	17418	17269	34990	35535	35844	27904	26827	26308	-11	-9	-4	-8	9	17	25	9	14	16	36	24	-9	7	2
5:38:17	17131	16582	16986	18641	18022	18151	36041	37037	37480	28959	28016	27404	-11	3	2	0	2	16	7	35	22	28	26	26	-3	7	-5
5:48:17	17196	16752	17046	18309	18020	17791	36900	37965	38005	29689	28631	28203	-4	-3	-2	0	8	7	34	18	15	24	32	32	-11	2	10
5:58:17	17539	17279	17260	18705	18401	18531	37195	38782	39500	30823	29434	29156	-5	-11	3	1	14	7	15	17	16	24	22	25	2	-4	3
6:08:17	17610	17330	17370	18913	18559	18594	38430	39826	40298	31740	30147	29992	-6	-12	-3	-3	4	16	9	17	6	37	48	43	2	-3	2
6:18:17	18150	17537	17604	19270	18694	19166	39201	40824	41682	32418	31172	30997	-11	-12	-4	-9	4	11	15	23	23	27	45	24	7	0	-7
6:28:17	18058	17637	17691	19541	19164	19252	41207	42798	42329	33090	32021	31630	1	-4	-7	7	14	10	23	31	20	26	25	29	-8	16	-7
6:38:17	18481	17902	17966	19688	19219	19392	41474	43558	43756	34652	32980	33084	-8	-14	-10	-14	1	-6	22	18	8	20	22	31	-4	-5	9
6:48:17	18597	18134	18586	20241	19856	19741	42853	44977	45287	35528	34206	33855	9	-8	-5	-4	10	19	28	20	20	40	40	34	4	-3	-1
6:58:17	18878	18237	18674	20672	20187	20367	46146	47693	47314	35953	34352	34389	-4	-1	-7	-3	16	11	20	23	22	28	31	44	2	-10	7
7:08:17	19510	19064	19376	20916	20798	20450	45508	47478	47550	37628	36005	35664	-5	-3	7	-4	7	12	15	17	13	32	22	19	-2	-7	10
7:18:17	19514	18897	19174	21447	20732	20960	47942	49875	49416	38180	36361	36200	-9	3	1	-7	10	22	27	10	14	35	37	33	-4	-5	10
7:28:17	19980	19599	19651	21772	21397	21371	48278	50289	49928	38732	37187	37199	-5	-1	2	3	7	17	20	11	19	25	43	23	-5	0	5
7:38:17	20490	19953	20274	22236	21853	21593	49373	51410	51283	40091	38525	38390	-14	-14	-2	-18	9	2	18	15	20	34	28	32	-4	5	-1
7:48:17	20460	20035	20259	22732	22294	22251	50387	53134	52588	40813	39192	39478	5	-10	3	3	10	22	23	17	16	20	26	37	-5	-1	5
7:58:17	21562	21039	21140	23511	22925	23231	51944	53999	53817	41917	40764	40234	3	-3	-5	7	16	17	17	25	26	31	54	45	-6	-1	8
8:08:17	21424	20921	20925	23408	23202	23290	53082	55130	54678	43257	41138	41535	-4	1	8	2	11	-3	17	26	10	34	30	36	-5	0	4
8:18:17	22425	21386	21678	24344	24032	23912	53953	55999	55685	43916	42212	42967	12	6	7	2	12	13	17	32	23	44	34	40	-3	2	0
8:28:17	22967	22255	22272	26069	25539	26575	56860	58345	57991	44885	43792	43488	0	9	3	4	14	9	17	20	25	29	41	39	-3	-2	4
8:38:17	23166	22404	22618	25888	25741	26399	58017	59520	58828	46065	44586	44977	4	2	2	11	15	23	24	19	14	26	43	31	2	-6	3
8:48:17	24103	23327	23359	27148	26880	27730	60149	61919	61631	47298	45902	46158	-3	-15	-4	-2	20	9	22	20	16	26	25	14	-4	2	2
8:58:17	24356	23678	23788	26909	26649	27582	62118	63457	63148	49029	46993	47371	-2	0	4	1	7	0	23	18	17	18	31	33	-5	0	5
9:08:17	25291	24385	24413	27599	27200	27789	60062	62666	63348	49894	48587	48840	-2	5	5	-3	3	10	25	16	10	35	25	17	-1	-1	3
9:18:17	26211	25455	25726	29182	28712	29476	65455	68003	68584	50827	49563	49173	-2	-1	-8	8	10	16	15	9	24	26	35	29	5	0	-4
9:28:17	27050	25848	26071	29655	29181	30199	66995	69532	69790	52394	50538	50076	-10	-2	-6	-8	17	11	34	33	11	35	36	34	-2	-4	7
9:38:17	27579	26542	26836	30409	30196	31136	69499	71678	72029	53457	52063	51650	-1	-7	10	1	19	26	25	18	4	33	53	45	-3	-1	4
9:48:17	29059	27400	27347	30607	30298	31082	71026	73547	73453	54971	53126	52622	-8	1	0	-5	2	2	6	9	21	23	39	34	-4	0	5
9:58:17	31545	28996	28797	31531	31143	31673	72795	74865	74357	55908	54423	54154	1	18	3	6	20	25	42	27	33	29	27	31	2	-4	1
10:08:17	31000	29281	29380	32837	32642	32763	73223	76121	75770	57689	57270	55716	4	-5	2	-8	12	13	18	25	34	34	22	29	-5	1	4
10:18:17	33769	30414	30099	33546	33472	35170	76945	77907	77390	59077	57691	57422	7	-15	7	19	29	10	32	18	29	26	30	45	0	3	-4
10:28:17	33077	30905	31293	34717	34318	34906	76849	78292	78079	62994	61197	61247	-2	1	-6	-4	4	7	11	36	29	37	35	51	-8	7	0
10:38:17	39461	36391	35731	39756	39243	37285	79484	79816	79314	65511	62648	63139	11	-12	-7	-7	22	9	27	20	15	34	22	23	-4	5	-2
10:48:17	35942	33330	33290	36321	36092	36336	79363	80828	80711	68292	65379	67083	-3	8	19	8	14	14	42	18	31	55	39	39	7	-2	-5
10:58:17	42392	40945	41570	45536	44954	38563	81471	80649	80186	68668	66291	67891	2	-2	3	-3	9	0	17	15	11	25	20	26	-5	-1	6
11:08:17	40282	39581	40795	42966	42395	39170	81146	82211	82046	72056	68308	69906	-5	-9	7	-5	17	11	24	8	18	46	34	40	-2	-5	6
11:18:17	44534	39621	38838	41736	42335	42645	83077	83119	82720	73086	70483	71769	-10	-5	-1	11	17	26	12	20	20	45	31	43	-7	1	6
11:28:17	46752	45196	46266	49197	48237	50895	89300	90526	89239	73393	71514	72018	-4	0	5	2	10	7	32	31	31	30	49	37	-4	-3	6
11:38:17	41090	39599	41080	46157	47092	41893	81884	82765	82968	73410	72870	72245	2	-4	6	2	8	0	29	14	14	26	30	40	-2	9	-7
11:48:17	46874	43622	43118	46193	45302	44729	85951	86396	87070	76677	75175	74287	-8	-4	4	-4	8	-4	31	24	10	21	50	20	3	-1	-1
11:58:17	49208	46998	46167	48729	48014	48855	86604	87563	87915	77354	76048	74856	9	4	-4	-4	14	-2	19	15	33	37	32	43	-8	1	7
12:08:17	54211	48969	45709	48674	46673	48797	88212	88731	88399	77587	77113	75653	0	13	-1	13	7	20	18	24	26	50	56	50	0	-3	3
12:18:17	57452	56969	57343	59598	58069	56387	86839	87595	88683	79397	79265	79420	3	-13	-4	-1	18	13	19	18	16	26	31	35	5	3	-7
12:28:17	61955	61068	60091	62155	58924	53159	88575	87577	88464	80887	80042	79089	-2	-10	-4	2	9	14	25	26	25	37	29	35	-4	-2	7
12:38:17	61249	59755	60573	62078	60687	62189	96985	90487	93374	81946	80640	80888	-8	-13	-8	9	12	18	24	19	12	25	25	36	2	6	-9
12:48:17	63505	62418	62117	63135	62459	62977	98985	93126	93537	82217	82083	82616	-14	-7	5	-6	4	7	22	14	5	23	37	12	-5	0	6
12:58:17	67540	64978	64762	65375	62469	58006	90186	92270	92448	83278	82538	81355	1	10	4	2	20	25	22	20	19	30	35	22	0	2	-3
13:08:17	60507	60426	60070	61890	59025	59279	94508	98070	97841	84033	84154	83257	1	8	7	0	20	14	16	29	26	32	33	45	1	2	-4
13:18:17	60799	59011	59334	59337	58290	61597	95829	99454	98921	86333	85831	85073	6	-1	2	7	7	16	22	17	24	34	43	42	-4	-3	6
13:28:17	70236	64058	66302	68491	67128	66931	99081	?????	?????	88413	87477	86580	-5	-5	-5	-11	6	2	11	7	13	23	36	32	-1	8	-6
13:38:17	77976	70965	68298	70234	69206	71602	99675	?????	?????	88870	88963	88622	-9	5	10	-1	13	12	30	17	24	25	37	32	0	-6	6
13:48:17	73555	70000	69926	68527	70145	69842	?????	99593	?????	86946	87588	87906	17	19	19	0	17	8	33	35	33	30	43	46	4	-3	-1
13:58:17	72799	71375	72403	73675	74041	70732	?????	?????	?????	90191	89536	89642	2	12	7	9	23	12	28	16	16	39	32	34	10	1	-10
14:08:17	71470	73494	75443	76448	72585	72113	?????	?????	?????	91712	91663	91835	-4	-1	-5	-4	4	8	27	28	21	25	38	38	2	3	-5
14:18:17	83052	74903	70126	70115	75914	78261	?????	?????	?????	93770	94217	94479	-11	-1	-10	-3	3	-8	12	6	23	33	22	24	5	-4	-2
14:28:17	78475	79510	79321	81476	75273	77415	?????	?????	?????	95497	93629	94577	1	0	-7	-5	5	18	19	18	23	42	41	35	-8	2	5
14:38:17	77168	75401	75560	75264	73866	80204	?????	?????	?????	96878	96068	94875	-10	-10	-6	-14	9	-8	6	22	13	25	24	36	-9	4	5
14:48:17	78941	77849	77578	79903	74527	87244	?????	?????	?????	97616	96476	98782	7	-1	9	1	24	9	12	16	25	26	49	24	-2	5	-2
14:58:17	78981	79294	82126	74596	79347	88764	?????	?????	?????	96857	97571	99664	-5	-7	-3	-8	-1	16	26	12	23	17	31	16	8	-3	-4
15:08:17	80942	75064	75174	74363	74614	91415	?????	?????	?????	98566	?????	?????	12	0	5	1	15	7	16	19	17	30	42	33	1	-3	3
15:18:17	87050	84769	85821	87708	78576	88272	?????	?????	?????	?????	?????	?????	-1	5	9	11	16	10	27	15	27	30	42	45	6	-6	0
15:28:17	87422	84433	87389	87730	80770	90718	?????	?????	?????	?????	?????	?????	6	-3	-1	2	19	10	28	18	23	26	46	27	-3	-1	4
15:38:17	88937	84634	85208	84883	83995	90409	?????	?????	?????	?????	?????	?????	-6	2	3	5	0	9	14	25	20	30	57	29	-7	0	7
15:48:17	93017	89469	92204	91671	89674	97031	?????	?????	?????	?????	?????	?????	-3	-13	-5	-13	25	-4	15	16	8	27	14	35	-6	3	2
15:58:17	99747	93664	95888	97063	96041	93760	?????	?????	?????	?????	?????	?????	-6	0	8	0	11	19	29	23	15	40	42	30	-6	3	4
16:08:17	90093	88085	85417	84583	95346	?????	?????	?????	?????	?????	?????	?????	10	-2	2	-7	21	6	11	19	16	32	35	32	-4	0	4
16:18:17	?????	97946	99328	?????	98803	?????	?????	?????	?????	?????	?????	?????	-7	-3	-2	-5	19	11	29	25	31	42	38	42	-7	4	3
16:28:17	94224	89395	90557	95485	92861	97028	?????	?????	?????	?????	?????	?????	-13	1	7	-4	14	13	26	18	12	35	33	37	-2	-5	7
16:38:17	94474	89870	94591	98437	91561	?????	?????	?????	?????	?????	?????	?????	3	9	3	5	18	15	32	21	25	33	40	36	10	-8	-1
16:48:17	99533	95688	96339	96508	96060	?????	?????	?????	?????	?????	?????	?????	-13	-18	-11	-15	-1	5	9	1	20	21	21	33	0	2	-2
16:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	4	-4	-8	2	10	-2	21	14	17	16	36	39	-8	1	6
17:08:17	97718	92118	94719	96720	98640	?????	?????	?????	?????	?????	?????	?????	-6	20	9	-4	25	15	36	31	20	39	34	45	-10	3	6
17:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-6	-6	3	4	-3	16	26	14	26	28	26	30	0	6	-6
17:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-11	4	-5	-13	0	10	21	19	5	37	40	46	4	-5	0
17:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-3	-1	-4	-6	5	2	29	21	19	37	40	34	3	-1	-1
17:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	13	8	10	-1	16	19	24	26	33	30	36	33	-8	10	-3
17:58:17	?????	?????	?????	?????	99473	?????	?????	?????	?????	?????	?????	?????	-8	-10	8	-9	-13	9	16	15	27	41	30	29	-6	5	0
18:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	5	7	11	1	12	11	23	34	21	39	40	41	-7	3	4
18:18:17	?????	?????	99499	?????	?????	?????	?????	?????	?????	?????	?????	?????	-6	9	15	-9	5	-1	11	17	23	28	47	48	-6	5	2
18:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	4	-15	0	4	9	15	28	25	23	32	21	36	1	6	-6
18:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-8	2	-4	-6	7	7	25	24	19	21	28	33	-1	-1	3
18:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	11	6	3	-2	9	7	24	28	30	37	45	40	-7	6	2
18:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	9	6	0	1	6	7	29	30	30	45	34	41	3	-2	-2
19:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	0	-9	-3	8	19	19	30	24	18	24	37	37	1	-9	8
19:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	5	-5	-6	-16	1	-11	11	11	18	33	31	29	9	1	-9
19:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	2	-6	9	10	14	17	22	22	5	40	44	53	7	-6	-1
19:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-5	-6	-11	-1	-2	11	17	23	-2	35	22	40	5	-2	-4
19:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	2	2	8	11	9	5	17	34	20	35	54	41	-2	0	2
19:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-2	10	12	4	21	11	31	17	22	33	29	42	2	-4	1
20:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-6	-13	-3	-6	-3	8	18	15	9	21	26	37	-4	1	4
20:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-4	-4	-1	-4	17	11	28	15	26	34	42	46	-3	-4	7
20:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	15	10	19	16	22	17	40	23	31	36	44	43	-4	4	1
20:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	2	-7	7	7	10	6	38	22	14	25	37	35	1	5	-5
20:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	15	1	12	-4	3	9	22	17	14	27	34	40	8	3	-11
