Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7	F2	F3	F4
0:09:07	0.022	0.022	0.021	0.024	0.024	0.025	0.023	0.023	0.024	0.024	0.019	0.019	0.001	0.000	0.000	0.001	-0.001	0.001	0.002	0.002	0.002	0.000	0.000	0.001	0.000	0.000	-0.000
0:19:07	0.022	0.021	0.021	0.024	0.025	0.024	0.024	0.024	0.024	0.024	0.019	0.019	0.001	0.000	0.000	0.000	-0.001	0.001	0.002	0.002	0.002	0.000	0.000	0.001	-0.000	0.000	-0.000
0:29:07	0.022	0.021	0.021	0.025	0.024	0.025	0.024	0.024	0.024	0.025	0.019	0.020	0.001	0.000	0.000	0.001	-0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.000	0.000	-0.000
0:39:07	0.022	0.022	0.022	0.024	0.023	0.025	0.025	0.025	0.025	0.025	0.020	0.020	0.001	0.000	0.000	0.001	-0.001	0.001	0.002	0.002	0.002	0.001	0.000	0.001	0.000	0.000	-0.001
0:49:07	0.022	0.022	0.022	0.024	0.024	0.025	0.025	0.025	0.026	0.025	0.020	0.021	0.001	0.001	0.001	0.001	-0.001	0.001	0.002	0.002	0.002	0.001	0.000	0.001	0.000	0.000	-0.001
0:59:07	0.023	0.022	0.022	0.024	0.024	0.025	0.026	0.026	0.026	0.027	0.021	0.021	0.001	0.000	0.001	0.001	-0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.000	-0.000	-0.000
1:09:07	0.023	0.022	0.022	0.024	0.025	0.025	0.027	0.027	0.027	0.027	0.022	0.022	0.001	0.000	0.001	0.000	-0.001	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.000	0.000	-0.000
1:19:07	0.023	0.023	0.022	0.024	0.024	0.025	0.028	0.028	0.028	0.028	0.023	0.023	0.001	0.000	0.001	0.001	-0.001	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.000	0.000	-0.000
1:29:07	0.023	0.023	0.023	0.025	0.025	0.025	0.029	0.029	0.029	0.029	0.023	0.023	0.001	0.001	0.001	0.001	-0.000	0.002	0.003	0.002	0.002	0.001	0.001	0.001	0.000	-0.000	-0.000
1:39:07	0.023	0.023	0.023	0.025	0.024	0.025	0.030	0.030	0.030	0.030	0.024	0.024	0.001	0.001	0.001	0.001	-0.000	0.002	0.003	0.002	0.002	0.001	0.001	0.001	0.000	-0.000	-0.000
1:49:07	0.023	0.024	0.023	0.025	0.024	0.025	0.031	0.031	0.031	0.031	0.025	0.025	0.001	0.000	0.001	0.001	-0.001	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.000	-0.000	-0.000
1:59:07	0.024	0.024	0.024	0.025	0.025	0.025	0.032	0.032	0.033	0.032	0.026	0.026	0.001	0.000	0.001	0.001	-0.001	0.002	0.003	0.002	0.002	0.001	0.001	0.001	0.000	-0.000	-0.000
2:09:07	0.025	0.024	0.023	0.025	0.024	0.025	0.033	0.033	0.034	0.032	0.027	0.027	0.001	0.000	0.000	0.000	-0.001	0.002	0.002	0.002	0.002	0.001	0.000	0.001	-0.000	0.000	-0.000
2:19:07	0.025	0.024	0.024	0.025	0.025	0.025	0.034	0.035	0.035	0.034	0.028	0.027	0.001	0.001	0.001	0.001	-0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.000	-0.000	-0.000
2:29:07	0.025	0.024	0.023	0.025	0.025	0.025	0.035	0.036	0.037	0.035	0.029	0.029	0.000	-0.000	0.000	0.001	-0.001	0.002	0.002	0.002	0.002	0.000	0.000	0.001	-0.000	0.000	-0.000
2:39:07	0.025	0.025	0.024	0.025	0.025	0.025	0.037	0.038	0.039	0.037	0.030	0.030	0.000	0.000	0.000	0.001	-0.001	0.001	0.002	0.002	0.002	0.000	0.000	0.001	0.001	-0.000	-0.000
2:49:07	0.025	0.025	0.024	0.026	0.026	0.025	0.038	0.039	0.040	0.039	0.032	0.031	0.001	0.001	0.001	0.001	-0.001	0.002	0.003	0.002	0.002	0.001	0.001	0.001	0.000	-0.000	0.000
2:59:07	0.025	0.024	0.024	0.026	0.025	0.025	0.039	0.040	0.041	0.039	0.032	0.032	0.001	0.000	0.000	0.000	-0.001	0.001	0.002	0.002	0.002	0.000	0.000	0.001	-0.000	0.000	-0.000
3:09:07	0.025	0.025	0.024	0.027	0.026	0.026	0.041	0.042	0.043	0.041	0.034	0.033	0.001	0.001	0.001	0.001	-0.001	0.001	0.003	0.002	0.002	0.001	0.001	0.001	0.000	0.000	-0.000
