time,OD,well
0:09:10,0.0816,A1
0:19:10,0.0816,A1
0:29:10,0.0816,A1
0:39:10,0.082,A1
0:49:10,0.0821,A1
0:59:10,0.0825,A1
1:09:10,0.0824,A1
1:19:10,0.0826,A1
1:29:10,0.0826,A1
1:39:10,0.0826,A1
1:49:10,0.0826,A1
1:59:10,0.083,A1
2:09:10,0.0829,A1
2:19:10,0.0825,A1
2:29:10,0.0826,A1
2:39:10,0.0827,A1
2:49:10,0.0825,A1
2:59:10,0.0825,A1
3:09:10,0.0835,A1
3:19:10,0.0827,A1
3:29:10,0.1059,A1
3:39:10,0.0829,A1
3:49:10,0.0832,A1
3:59:10,0.0937,A1
4:09:10,0.0835,A1
4:19:10,0.0835,A1
4:29:10,0.0835,A1
4:39:10,0.084,A1
4:49:10,0.0833,A1
4:59:10,0.084,A1
5:09:10,0.0839,A1
5:19:10,0.0837,A1
5:29:10,0.0839,A1
5:39:10,0.0832,A1
5:49:10,0.084,A1
5:59:10,0.0838,A1
6:09:10,0.0844,A1
6:19:10,0.0838,A1
6:29:10,0.0836,A1
6:39:10,0.0835,A1
6:49:10,0.0835,A1
6:59:10,0.0843,A1
7:09:10,0.0844,A1
7:19:10,0.0846,A1
7:29:10,0.0844,A1
7:39:10,0.0852,A1
7:49:10,0.0842,A1
7:59:10,0.0843,A1
8:09:10,0.0845,A1
8:19:10,0.0842,A1
8:29:10,0.0844,A1
8:39:10,0.0848,A1
8:49:10,0.0847,A1
8:59:10,0.0851,A1
9:09:10,0.0852,A1
9:19:10,0.0855,A1
9:29:10,0.0858,A1
9:39:10,0.0859,A1
9:49:10,0.0862,A1
9:59:10,0.0867,A1
10:09:10,0.0868,A1
10:19:10,0.0872,A1
10:29:10,0.0876,A1
10:39:10,0.0884,A1
10:49:10,0.0888,A1
10:59:10,0.0897,A1
11:09:10,0.0899,A1
11:19:10,0.0907,A1
11:29:10,0.0915,A1
11:39:10,0.0926,A1
11:49:10,0.0932,A1
11:59:10,0.0941,A1
12:09:10,0.0962,A1
12:19:10,0.0978,A1
12:29:10,0.0994,A1
12:39:10,0.1011,A1
12:49:10,0.1034,A1
12:59:10,0.1067,A1
13:09:10,0.1087,A1
13:19:10,0.1114,A1
13:29:10,0.1148,A1
13:39:10,0.1178,A1
13:49:10,0.1208,A1
13:59:10,0.124,A1
14:09:10,0.1279,A1
14:19:10,0.1324,A1
14:29:10,0.1383,A1
14:39:10,0.1486,A1
14:49:10,0.1567,A1
14:59:10,0.1682,A1
15:09:10,0.1848,A1
15:19:10,0.198,A1
15:29:10,0.2255,A1
15:39:10,0.2367,A1
15:49:10,0.2532,A1
15:59:10,0.2665,A1
16:09:10,0.29,A1
16:19:10,0.3733,A1
16:29:10,0.4102,A1
16:39:10,0.4535,A1
16:49:10,0.4766,A1
16:59:10,0.4948,A1
17:09:10,0.5165,A1
17:19:10,0.5463,A1
17:29:10,0.5788,A1
17:39:10,0.5893,A1
17:49:10,0.6038,A1
17:59:10,0.6206,A1
18:09:10,0.63,A1
18:19:10,0.6455,A1
18:29:10,0.6605,A1
18:39:10,0.6725,A1
18:49:10,0.714,A1
18:59:10,0.7341,A1
19:09:10,0.713,A1
19:19:10,0.6863,A1
19:29:10,0.6948,A1
19:39:10,0.6849,A1
19:49:10,0.7065,A1
19:59:10,0.6977,A1
20:09:10,0.7033,A1
20:19:10,0.6949,A1
20:29:10,0.7113,A1
20:39:10,0.7169,A1
20:49:10,0.7295,A1
20:59:10,0.7184,A1
21:09:10,0.7204,A1
21:19:10,0.7154,A1
21:29:10,0.7016,A1
21:39:10,0.6788,A1
21:49:10,0.6817,A1
21:59:10,0.6821,A1
22:09:10,0.6828,A1
22:19:10,0.6868,A1
22:29:10,0.6677,A1
22:39:10,0.6875,A1
22:49:10,0.6781,A1
22:59:10,0.6901,A1
0:00:00,,A1
0:00:00,,A1
0:00:00,,A1
0:00:00,,A1
0:00:00,,A1
0:00:00,,A1
0:00:00,,A1
0:09:10,0.083,A2
0:19:10,0.0836,A2
0:29:10,0.0835,A2
0:39:10,0.0834,A2
0:49:10,0.0832,A2
0:59:10,0.0836,A2
1:09:10,0.0834,A2
1:19:10,0.0829,A2
1:29:10,0.0829,A2
1:39:10,0.0831,A2
1:49:10,0.0828,A2
1:59:10,0.0835,A2
2:09:10,0.083,A2
2:19:10,0.0831,A2
2:29:10,0.0834,A2
2:39:10,0.0833,A2
2:49:10,0.0836,A2
2:59:10,0.0833,A2
3:09:10,0.0837,A2
3:19:10,0.0834,A2
3:29:10,0.0833,A2
3:39:10,0.0838,A2
3:49:10,0.0837,A2
3:59:10,0.0834,A2
4:09:10,0.0837,A2
4:19:10,0.0835,A2
4:29:10,0.0959,A2
4:39:10,0.0947,A2
4:49:10,0.0935,A2
4:59:10,0.0941,A2
5:09:10,0.0941,A2
5:19:10,0.0943,A2
5:29:10,0.0937,A2
5:39:10,0.0931,A2
5:49:10,0.0929,A2
5:59:10,0.093,A2
6:09:10,0.0927,A2
6:19:10,0.0927,A2
6:29:10,0.0849,A2
6:39:10,0.0845,A2
6:49:10,0.0846,A2
6:59:10,0.0854,A2
7:09:10,0.085,A2
7:19:10,0.0854,A2
7:29:10,0.0857,A2
7:39:10,0.0861,A2
7:49:10,0.0857,A2
7:59:10,0.0864,A2
8:09:10,0.0863,A2
8:19:10,0.0863,A2
8:29:10,0.0866,A2
8:39:10,0.0869,A2
8:49:10,0.0872,A2
8:59:10,0.0873,A2
9:09:10,0.0873,A2
9:19:10,0.0875,A2
9:29:10,0.0878,A2
9:39:10,0.0879,A2
9:49:10,0.0882,A2
9:59:10,0.0887,A2
10:09:10,0.0892,A2
10:19:10,0.0894,A2
10:29:10,0.09,A2
10:39:10,0.0908,A2
10:49:10,0.0912,A2
10:59:10,0.0919,A2
11:09:10,0.0926,A2
11:19:10,0.0934,A2
11:29:10,0.0946,A2
11:39:10,0.0954,A2
11:49:10,0.0966,A2
11:59:10,0.0979,A2
12:09:10,0.0992,A2
12:19:10,0.1008,A2
12:29:10,0.1026,A2
12:39:10,0.1051,A2
12:49:10,0.1071,A2
12:59:10,0.1103,A2
13:09:10,0.1124,A2
13:19:10,0.1154,A2
13:29:10,0.1191,A2
13:39:10,0.123,A2
13:49:10,0.1259,A2
13:59:10,0.1285,A2
14:09:10,0.1335,A2
14:19:10,0.1388,A2
14:29:10,0.1468,A2
14:39:10,0.1564,A2
14:49:10,0.167,A2
14:59:10,0.1811,A2
15:09:10,0.1987,A2
15:19:10,0.2116,A2
15:29:10,0.24,A2
15:39:10,0.2443,A2
15:49:10,0.2658,A2
15:59:10,0.2833,A2
16:09:10,0.3511,A2
16:19:10,0.4006,A2
16:29:10,0.4248,A2
16:39:10,0.4622,A2
16:49:10,0.4844,A2
16:59:10,0.5041,A2
17:09:10,0.5241,A2
17:19:10,0.5541,A2
17:29:10,0.5841,A2
17:39:10,0.5937,A2
17:49:10,0.6041,A2
17:59:10,0.6193,A2
18:09:10,0.6253,A2
18:19:10,0.6383,A2
18:29:10,0.6517,A2
18:39:10,0.662,A2
18:49:10,0.7006,A2
18:59:10,0.7197,A2
19:09:10,0.7061,A2
19:19:10,0.6806,A2
19:29:10,0.6893,A2
19:39:10,0.6801,A2
19:49:10,0.6993,A2
19:59:10,0.6937,A2
20:09:10,0.6996,A2
20:19:10,0.6893,A2
20:29:10,0.7032,A2
20:39:10,0.7081,A2
20:49:10,0.7141,A2
20:59:10,0.7024,A2
21:09:10,0.7044,A2
21:19:10,0.7007,A2
21:29:10,0.6833,A2
21:39:10,0.6617,A2
21:49:10,0.6649,A2
21:59:10,0.6664,A2
22:09:10,0.6664,A2
22:19:10,0.6684,A2
22:29:10,0.6557,A2
22:39:10,0.6722,A2
22:49:10,0.6637,A2
22:59:10,0.6729,A2
0:00:00,,A2
0:00:00,,A2
0:00:00,,A2
0:00:00,,A2
0:00:00,,A2
0:00:00,,A2
0:00:00,,A2
0:09:10,0.0805,A3
0:19:10,0.0807,A3
0:29:10,0.0812,A3
0:39:10,0.081,A3
0:49:10,0.0811,A3
0:59:10,0.0812,A3
1:09:10,0.081,A3
1:19:10,0.0809,A3
1:29:10,0.0809,A3
1:39:10,0.0813,A3
1:49:10,0.0809,A3
1:59:10,0.0809,A3
2:09:10,0.081,A3
2:19:10,0.0811,A3
2:29:10,0.081,A3
2:39:10,0.0809,A3
2:49:10,0.0809,A3
2:59:10,0.0812,A3
3:09:10,0.0814,A3
3:19:10,0.0811,A3
3:29:10,0.0812,A3
3:39:10,0.0814,A3
3:49:10,0.0813,A3
3:59:10,0.0815,A3
4:09:10,0.1032,A3
4:19:10,0.0813,A3
4:29:10,0.0816,A3
4:39:10,0.0818,A3
4:49:10,0.0814,A3
4:59:10,0.0815,A3
5:09:10,0.0815,A3
5:19:10,0.0817,A3
5:29:10,0.0816,A3
5:39:10,0.0823,A3
5:49:10,0.0818,A3
5:59:10,0.0821,A3
6:09:10,0.0822,A3
6:19:10,0.0826,A3
6:29:10,0.0825,A3
6:39:10,0.0827,A3
6:49:10,0.0829,A3
6:59:10,0.0832,A3
7:09:10,0.0834,A3
7:19:10,0.0835,A3
7:29:10,0.084,A3
7:39:10,0.084,A3
7:49:10,0.0841,A3
7:59:10,0.0841,A3
8:09:10,0.0844,A3
8:19:10,0.0843,A3
8:29:10,0.0848,A3
8:39:10,0.0846,A3
8:49:10,0.0846,A3
8:59:10,0.0851,A3
9:09:10,0.0853,A3
9:19:10,0.0853,A3
9:29:10,0.0852,A3
9:39:10,0.0854,A3
9:49:10,0.0856,A3
9:59:10,0.086,A3
10:09:10,0.0866,A3
10:19:10,0.0867,A3
10:29:10,0.0875,A3
10:39:10,0.0878,A3
10:49:10,0.0882,A3
10:59:10,0.0888,A3
11:09:10,0.0897,A3
11:19:10,0.0904,A3
11:29:10,0.0913,A3
11:39:10,0.0921,A3
11:49:10,0.0932,A3
11:59:10,0.0946,A3
12:09:10,0.0961,A3
12:19:10,0.0978,A3
12:29:10,0.0997,A3
12:39:10,0.1024,A3
12:49:10,0.1046,A3
12:59:10,0.1077,A3
13:09:10,0.1104,A3
13:19:10,0.1133,A3
13:29:10,0.1171,A3
13:39:10,0.1213,A3
13:49:10,0.1241,A3
13:59:10,0.1274,A3
14:09:10,0.1321,A3
14:19:10,0.1363,A3
14:29:10,0.1433,A3
14:39:10,0.1546,A3
14:49:10,0.1651,A3
14:59:10,0.1771,A3
15:09:10,0.1966,A3
15:19:10,0.2094,A3
15:29:10,0.2459,A3
15:39:10,0.2472,A3
15:49:10,0.269,A3
15:59:10,0.2845,A3
16:09:10,0.3475,A3
16:19:10,0.4032,A3
16:29:10,0.4295,A3
16:39:10,0.4626,A3
16:49:10,0.4845,A3
16:59:10,0.5037,A3
17:09:10,0.5253,A3
17:19:10,0.5599,A3
17:29:10,0.5946,A3
17:39:10,0.6053,A3
17:49:10,0.6135,A3
17:59:10,0.6284,A3
18:09:10,0.6354,A3
18:19:10,0.6485,A3
18:29:10,0.6611,A3
18:39:10,0.6722,A3
18:49:10,0.7194,A3
18:59:10,0.7138,A3
19:09:10,0.6888,A3
19:19:10,0.6747,A3
19:29:10,0.6841,A3
19:39:10,0.6758,A3
19:49:10,0.6993,A3
19:59:10,0.6916,A3
20:09:10,0.6976,A3
20:19:10,0.6882,A3
20:29:10,0.7041,A3
20:39:10,0.7059,A3
20:49:10,0.7114,A3
20:59:10,0.6997,A3
21:09:10,0.6976,A3
21:19:10,0.6926,A3
21:29:10,0.678,A3
21:39:10,0.6638,A3
21:49:10,0.666,A3
21:59:10,0.6739,A3
22:09:10,0.6709,A3
22:19:10,0.6705,A3
22:29:10,0.659,A3
22:39:10,0.6741,A3
22:49:10,0.6603,A3
22:59:10,0.6714,A3
0:00:00,,A3
0:00:00,,A3
0:00:00,,A3
0:00:00,,A3
0:00:00,,A3
0:00:00,,A3
0:00:00,,A3
0:09:10,0.0806,A4
0:19:10,0.0802,A4
0:29:10,0.0803,A4
0:39:10,0.0805,A4
0:49:10,0.0804,A4
0:59:10,0.0804,A4
1:09:10,0.0807,A4
1:19:10,0.0805,A4
1:29:10,0.0807,A4
1:39:10,0.0805,A4
1:49:10,0.0808,A4
1:59:10,0.0806,A4
2:09:10,0.0806,A4
2:19:10,0.0807,A4
2:29:10,0.0809,A4
2:39:10,0.0805,A4
2:49:10,0.0807,A4
2:59:10,0.0808,A4
3:09:10,0.081,A4
3:19:10,0.0808,A4
3:29:10,0.0808,A4
3:39:10,0.0813,A4
3:49:10,0.0809,A4
3:59:10,0.081,A4
4:09:10,0.081,A4
4:19:10,0.0811,A4
4:29:10,0.0814,A4
4:39:10,0.0814,A4
4:49:10,0.0814,A4
4:59:10,0.0814,A4
5:09:10,0.0813,A4
5:19:10,0.0814,A4
5:29:10,0.0814,A4
5:39:10,0.0815,A4
5:49:10,0.0817,A4
5:59:10,0.0817,A4
6:09:10,0.0817,A4
6:19:10,0.082,A4
6:29:10,0.082,A4
6:39:10,0.0824,A4
6:49:10,0.0821,A4
6:59:10,0.0824,A4
7:09:10,0.0826,A4
7:19:10,0.0825,A4
7:29:10,0.0829,A4
7:39:10,0.083,A4
7:49:10,0.0832,A4
7:59:10,0.0836,A4
8:09:10,0.0834,A4
8:19:10,0.0835,A4
8:29:10,0.0834,A4
8:39:10,0.084,A4
8:49:10,0.0842,A4
8:59:10,0.0845,A4
9:09:10,0.0844,A4
9:19:10,0.0849,A4
9:29:10,0.085,A4
9:39:10,0.0854,A4
9:49:10,0.0856,A4
9:59:10,0.0859,A4
10:09:10,0.0864,A4
10:19:10,0.087,A4
10:29:10,0.0876,A4
