Time,T,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:10,28.1,0.0816,0.0830,0.0805,0.0806,0.0807,0.0814,0.0813,0.0912,0.0799,0.0815,0.0800,0.0898,0.0818,0.0834,0.0903,0.0950,0.0818,0.0816,0.0819,0.0821,0.0805,0.0800,0.0817,0.0813,0.0817,0.0833,0.0981,0.0927,0.0837,0.0820,0.0817,0.0815,0.0811,0.0841,0.0820,0.0823,0.0839,0.0845,0.0860,0.0872,0.0868,0.0858,0.0844,0.0860,0.0856,0.0850,0.0853,0.0864,0.0833,0.0875,0.0921,0.0921,0.0905,0.0889,0.0878,0.0900,0.0848,0.0850,0.0860,0.0866,0.0813,0.0835,0.0819,0.0829,0.0848,0.0844,0.0846,0.0837,0.0849,0.0857,0.0864,0.0865,0.0823,0.0814,0.0820,0.0836,0.0851,0.0846,0.0846,0.0840,0.0833,0.0855,0.0860,0.0870,0.0882,0.0874,0.0886,0.0884,0.0924,0.0897,0.0818,0.0811,0.0822,0.0844,0.0831,0.0856
0:19:10,28.1,0.0816,0.0836,0.0807,0.0802,0.0803,0.0813,0.0809,0.0906,0.0800,0.0809,0.0810,0.0904,0.0810,0.0816,0.0819,0.0796,0.0810,0.0809,0.0824,0.0821,0.0808,0.0799,0.0816,0.0816,0.0811,0.0826,0.0826,0.0821,0.0826,0.0821,0.0818,0.0816,0.0817,0.0842,0.0818,0.0828,0.0838,0.0846,0.0856,0.0861,0.0867,0.0859,0.0841,0.0861,0.0853,0.0850,0.0853,0.0863,0.0832,0.0874,0.0921,0.0922,0.0905,0.0889,0.0875,0.0896,0.0852,0.0854,0.0858,0.0861,0.0811,0.0836,0.0819,0.0827,0.0866,0.0844,0.0845,0.0876,0.0846,0.0856,0.0863,0.0864,0.0822,0.0816,0.0822,0.0834,0.0851,0.0849,0.0845,0.0839,0.0830,0.0854,0.0861,0.0869,0.0882,0.0874,0.0885,0.0885,0.0894,0.0897,0.0818,0.0809,0.0823,0.0842,0.0835,0.0859
0:29:10,28.1,0.0816,0.0835,0.0812,0.0803,0.0807,0.0818,0.0813,0.0909,0.0803,0.0811,0.0808,0.0901,0.0811,0.0815,0.0825,0.0799,0.0810,0.0809,0.0827,0.0816,0.0807,0.0803,0.0815,0.0808,0.0815,0.0829,0.0830,0.0822,0.0826,0.0824,0.0817,0.0813,0.0811,0.0842,0.0820,0.0831,0.0836,0.0847,0.0854,0.0861,0.0868,0.0859,0.0842,0.0861,0.0853,0.0850,0.0851,0.0864,0.0831,0.0874,0.0920,0.0922,0.0904,0.0889,0.0876,0.0897,0.0853,0.0854,0.0857,0.0862,0.0810,0.0835,0.0818,0.0826,0.0888,0.0845,0.0845,0.0861,0.0847,0.0856,0.0863,0.0863,0.0822,0.0815,0.0822,0.0837,0.0850,0.0848,0.0845,0.0838,0.0834,0.0856,0.0860,0.0868,0.0882,0.0875,0.0886,0.0884,0.0892,0.0898,0.0820,0.0809,0.0828,0.0845,0.0831,0.0856
0:39:10,28.1,0.0820,0.0834,0.0810,0.0805,0.0809,0.0818,0.0811,0.0912,0.0805,0.0814,0.0811,0.0906,0.0816,0.0815,0.0823,0.0800,0.0805,0.0808,0.0830,0.0825,0.0809,0.0810,0.0817,0.0820,0.0812,0.0827,0.0826,0.0825,0.0826,0.0824,0.0814,0.0815,0.0816,0.0843,0.0824,0.0836,0.0840,0.0848,0.0856,0.0862,0.0870,0.0860,0.0842,0.0862,0.0856,0.0853,0.0853,0.0866,0.0834,0.0875,0.0927,0.0929,0.0908,0.0890,0.0876,0.0899,0.0869,0.0877,0.0859,0.0864,0.0815,0.0838,0.0820,0.0828,0.0849,0.0847,0.0847,0.0847,0.0849,0.0859,0.0865,0.0867,0.0825,0.0817,0.0824,0.0844,0.0853,0.0851,0.0847,0.0842,0.0834,0.0859,0.0864,0.0870,0.0884,0.0877,0.0887,0.0886,0.0895,0.0900,0.0820,0.0812,0.0825,0.0845,0.0836,0.0858
0:49:10,28.1,0.0821,0.0832,0.0811,0.0804,0.0804,0.0818,0.0813,0.0907,0.0801,0.0811,0.0810,0.0906,0.0809,0.0814,0.0819,0.0798,0.0806,0.0812,0.0830,0.0824,0.0814,0.0801,0.0820,0.0820,0.0812,0.0825,0.0826,0.0823,0.0819,0.0823,0.0818,0.0814,0.0815,0.0844,0.0819,0.0834,0.0838,0.0847,0.0854,0.0860,0.0866,0.0859,0.0841,0.0860,0.0854,0.0852,0.0852,0.0863,0.0831,0.0873,0.0925,0.0929,0.0908,0.0890,0.0874,0.0897,0.0869,0.0878,0.0857,0.0865,0.0812,0.0837,0.0818,0.0827,0.0849,0.0844,0.0845,0.0836,0.0848,0.0857,0.0864,0.0866,0.0823,0.0815,0.0826,0.0891,0.0853,0.0851,0.0844,0.0840,0.0838,0.0857,0.0862,0.0869,0.0882,0.0875,0.0887,0.0883,0.0894,0.0898,0.0818,0.0811,0.0825,0.0841,0.0837,0.0856
0:59:10,28.1,0.0825,0.0836,0.0812,0.0804,0.0803,0.0821,0.0812,0.0907,0.0807,0.0816,0.0803,0.0906,0.0812,0.0817,0.0818,0.0798,0.0814,0.0810,0.0833,0.0820,0.0814,0.0816,0.0816,0.0810,0.0813,0.0821,0.0828,0.0824,0.0822,0.0824,0.0813,0.0810,0.0813,0.0847,0.0820,0.0836,0.0837,0.0848,0.0855,0.0861,0.0869,0.0860,0.0841,0.0862,0.0855,0.0853,0.0853,0.0865,0.0832,0.0874,0.0929,0.0929,0.0910,0.0890,0.0874,0.0898,0.0890,0.0883,0.0858,0.0862,0.0813,0.0838,0.0820,0.0831,0.0849,0.0846,0.0846,0.0836,0.0848,0.0856,0.0865,0.0866,0.0824,0.0815,0.0832,0.0839,0.0852,0.0850,0.0845,0.0841,0.0838,0.0859,0.0863,0.0870,0.0882,0.0876,0.0887,0.0885,0.0893,0.0899,0.0821,0.0812,0.0825,0.0842,0.0835,0.0857
1:09:10,28.1,0.0824,0.0834,0.0810,0.0807,0.0803,0.0824,0.0810,0.0908,0.0796,0.0815,0.0810,0.0904,0.0815,0.0823,0.0815,0.0799,0.0804,0.0811,0.0834,0.0826,0.0813,0.0808,0.0820,0.0822,0.0814,0.0829,0.0828,0.0825,0.0824,0.0825,0.0816,0.0813,0.0812,0.0847,0.0819,0.0836,0.0840,0.0849,0.0856,0.0863,0.0868,0.0861,0.0842,0.0863,0.0856,0.0854,0.0854,0.0867,0.0834,0.0876,0.0935,0.0936,0.0908,0.0892,0.0877,0.0899,0.0895,0.0889,0.0860,0.0865,0.0816,0.0840,0.0820,0.0830,0.0850,0.0847,0.0847,0.0837,0.0849,0.0859,0.0868,0.0868,0.0825,0.0818,0.0832,0.0848,0.0853,0.0851,0.0848,0.0842,0.0844,0.0867,0.0864,0.0873,0.0883,0.0879,0.0888,0.0885,0.0895,0.0899,0.0823,0.0811,0.0826,0.0843,0.0836,0.0858
1:19:10,28.1,0.0826,0.0829,0.0809,0.0805,0.0800,0.0809,0.0811,0.0907,0.0808,0.0814,0.0804,0.0901,0.0814,0.0820,0.0815,0.0798,0.0803,0.0810,0.0833,0.0820,0.0809,0.0812,0.0823,0.0815,0.0822,0.0826,0.0826,0.0823,0.0822,0.0815,0.0816,0.0811,0.0809,0.0845,0.0817,0.0832,0.0838,0.0848,0.0854,0.0861,0.0868,0.0859,0.0842,0.0862,0.0854,0.0853,0.0853,0.0866,0.0833,0.0875,0.0936,0.0937,0.0908,0.0889,0.0876,0.0897,0.0885,0.0897,0.0858,0.0865,0.0814,0.0839,0.0819,0.0829,0.0850,0.0846,0.0847,0.0836,0.0848,0.0858,0.0866,0.0867,0.0824,0.0817,0.0831,0.0852,0.0853,0.0850,0.0846,0.0840,0.0850,0.0867,0.0863,0.0871,0.0882,0.0875,0.0885,0.0884,0.0894,0.0897,0.0821,0.0809,0.0825,0.0842,0.0838,0.0860
1:29:10,28.0,0.0826,0.0829,0.0809,0.0807,0.0800,0.0806,0.0814,0.0907,0.0798,0.0814,0.0804,0.0908,0.0812,0.0820,0.0815,0.0799,0.0807,0.0810,0.0835,0.0825,0.0810,0.0816,0.0819,0.0812,0.0817,0.0823,0.0828,0.0825,0.0822,0.0817,0.0817,0.0814,0.0810,0.0847,0.0820,0.0833,0.0839,0.0848,0.0855,0.0862,0.0869,0.0861,0.0843,0.0863,0.0855,0.0853,0.0855,0.0866,0.0834,0.0876,0.0939,0.0941,0.0909,0.0892,0.0876,0.0900,0.0898,0.0898,0.0858,0.0868,0.0816,0.0841,0.0820,0.0831,0.0849,0.0847,0.0848,0.0838,0.0850,0.0859,0.0867,0.0868,0.0824,0.0819,0.0837,0.0851,0.0853,0.0851,0.0847,0.0842,0.0859,0.0873,0.0864,0.0872,0.0883,0.0877,0.0887,0.0885,0.0898,0.0897,0.0824,0.0817,0.0828,0.0847,0.0841,0.0856
1:39:10,28.1,0.0826,0.0831,0.0813,0.0805,0.0801,0.0809,0.0811,0.0904,0.0801,0.0825,0.0812,0.0903,0.0813,0.0824,0.0817,0.0802,0.0802,0.0811,0.0822,0.0823,0.0814,0.0804,0.0817,0.0812,0.0813,0.0824,0.0824,0.0825,0.0825,0.0818,0.0819,0.0813,0.0812,0.0848,0.0820,0.0836,0.0840,0.0850,0.0857,0.0863,0.0870,0.0862,0.0844,0.0864,0.0857,0.0855,0.0854,0.0866,0.0835,0.0877,0.0942,0.0945,0.0911,0.0893,0.0878,0.0900,0.0929,0.0906,0.0860,0.0868,0.0819,0.0842,0.0823,0.0832,0.0852,0.0848,0.0849,0.0839,0.0851,0.0860,0.0868,0.0870,0.0826,0.0820,0.0841,0.0857,0.0855,0.0853,0.0849,0.0843,0.0867,0.0888,0.0866,0.0873,0.0884,0.0877,0.0887,0.0885,0.0898,0.0898,0.0819,0.0811,0.0831,0.0844,0.0835,0.0863
