time,OD,well,strain,carbon_source
0:29:10,0.0983,A1,at,0
0:59:10,0.0984,A1,at,0
1:29:10,0.098,A1,at,0
1:59:10,0.0978,A1,at,0
2:29:10,0.0978,A1,at,0
2:59:10,0.097,A1,at,0
3:29:10,0.0972,A1,at,0
3:59:10,0.0974,A1,at,0
4:29:10,0.0969,A1,at,0
4:59:10,0.0968,A1,at,0
5:29:10,0.0967,A1,at,0
5:59:10,0.0965,A1,at,0
6:29:10,0.0977,A1,at,0
6:59:10,0.0993,A1,at,0
7:29:10,0.1007,A1,at,0
7:59:10,0.1011,A1,at,0
8:29:10,0.1044,A1,at,0
8:59:10,0.1045,A1,at,0
9:29:10,0.1061,A1,at,0
9:59:10,0.1071,A1,at,0
10:29:10,0.1093,A1,at,0
10:59:10,0.1126,A1,at,0
11:29:10,0.1159,A1,at,0
11:59:10,0.1193,A1,at,0
12:29:10,0.1222,A1,at,0
12:59:10,0.1263,A1,at,0
13:29:10,0.1313,A1,at,0
13:59:10,0.1351,A1,at,0
14:29:10,0.1431,A1,at,0
14:59:10,0.1606,A1,at,0
15:29:10,0.1683,A1,at,0
15:59:10,0.1762,A1,at,0
16:29:10,0.1797,A1,at,0
16:59:10,0.1723,A1,at,0
17:29:10,0.1709,A1,at,0
17:59:10,0.1683,A1,at,0
18:29:10,0.1739,A1,at,0
18:59:10,0.1785,A1,at,0
19:29:10,0.1794,A1,at,0
19:59:10,0.1861,A1,at,0
20:29:10,0.1977,A1,at,0
20:59:10,0.2061,A1,at,0
21:29:10,0.2142,A1,at,0
21:59:10,0.2093,A1,at,0
22:29:10,0.2247,A1,at,0
22:59:10,0.2313,A1,at,0
23:29:10,0.2476,A1,at,0
23:59:10,0.2504,A1,at,0
24:29:10,0.2546,A1,at,0
24:59:10,0.262,A1,at,0
25:29:10,0.2655,A1,at,0
25:59:10,0.2741,A1,at,0
26:29:10,0.2561,A1,at,0
26:59:10,0.2577,A1,at,0
27:29:10,0.2613,A1,at,0
27:59:10,0.2728,A1,at,0
28:29:10,0.2793,A1,at,0
28:59:10,0.2904,A1,at,0
29:29:10,0.3076,A1,at,0
29:59:10,0.3233,A1,at,0
30:29:10,0.3287,A1,at,0
30:59:10,0.3535,A1,at,0
31:29:10,0.3684,A1,at,0
31:59:10,0.3846,A1,at,0
32:29:10,0.4406,A1,at,0
32:59:10,0.4539,A1,at,0
33:29:10,0.4931,A1,at,0
33:59:10,0.4967,A1,at,0
34:29:10,0.516,A1,at,0
34:59:10,0.5607,A1,at,0
35:29:10,0.5579,A1,at,0
35:59:10,0.5627,A1,at,0
36:29:10,0.5863,A1,at,0
36:59:10,0.6039,A1,at,0
37:29:10,0.6203,A1,at,0
37:59:10,0.6321,A1,at,0
38:29:10,0.6343,A1,at,0
38:59:10,0.6435,A1,at,0
39:29:10,0.6611,A1,at,0
39:59:10,0.6606,A1,at,0
40:29:10,0.672,A1,at,0
40:59:10,0.6966,A1,at,0
41:29:10,0.7105,A1,at,0
41:59:10,0.7117,A1,at,0
42:29:10,0.7246,A1,at,0
42:59:10,0.74,A1,at,0
43:29:10,0.7503,A1,at,0
43:59:10,0.7607,A1,at,0
44:29:10,0.7686,A1,at,0
44:59:10,0.7769,A1,at,0
45:29:10,0.7986,A1,at,0
45:59:10,0.7989,A1,at,0
46:29:10,0.8118,A1,at,0
46:59:10,0.8263,A1,at,0
47:29:10,0.8322,A1,at,0
47:59:10,0.8455,A1,at,0
48:29:10,0.8679,A1,at,0
48:59:10,0.8669,A1,at,0
49:29:10,0.8708,A1,at,0
49:59:10,0.879,A1,at,0
50:29:10,0.8942,A1,at,0
50:59:10,0.8938,A1,at,0
51:29:10,0.9185,A1,at,0
51:59:10,0.9122,A1,at,0
52:29:10,0.9396,A1,at,0
52:59:10,0.9456,A1,at,0
53:29:10,0.9528,A1,at,0
53:59:10,0.9603,A1,at,0
54:29:10,0.9579,A1,at,0
54:59:10,0.9544,A1,at,0
55:29:10,0.9681,A1,at,0
55:59:10,0.9672,A1,at,0
56:29:10,0.9873,A1,at,0
56:59:10,0.9825,A1,at,0
57:29:10,0.9999,A1,at,0
57:59:10,1.0069,A1,at,0
58:29:10,1.008,A1,at,0
58:59:10,1.0057,A1,at,0
59:29:10,1.0256,A1,at,0
59:59:10,1.026,A1,at,0
60:29:10,1.0282,A1,at,0
60:59:10,1.0405,A1,at,0
61:29:10,1.0436,A1,at,0
61:59:10,1.0512,A1,at,0
62:29:10,1.04,A1,at,0
62:59:10,1.0621,A1,at,0
63:29:10,1.0715,A1,at,0
63:59:10,1.0677,A1,at,0
64:29:10,1.0634,A1,at,0
64:59:10,1.0825,A1,at,0
65:29:10,1.0773,A1,at,0
65:59:10,1.0742,A1,at,0
66:29:10,1.0669,A1,at,0
66:59:10,1.0667,A1,at,0
67:29:10,1.0727,A1,at,0
67:59:10,1.0523,A1,at,0
68:29:10,1.0563,A1,at,0
68:59:10,1.0476,A1,at,0
69:29:10,1.0504,A1,at,0
69:59:10,1.045,A1,at,0
70:29:10,1.0639,A1,at,0
70:59:10,1.0472,A1,at,0
71:29:10,1.0498,A1,at,0
71:59:10,1.0473,A1,at,0
72:29:10,1.0289,A1,at,0
72:59:10,1.0364,A1,at,0
73:29:10,1.0316,A1,at,0
73:59:10,1.0485,A1,at,0
74:29:10,1.0314,A1,at,0
74:59:10,1.0211,A1,at,0
75:29:10,1.0189,A1,at,0
Unnamed: 152,,A1,at,0
0:29:10,0.094,A1,oa,0
0:59:10,0.095,A1,oa,0
1:29:10,0.095,A1,oa,0
1:59:10,0.094,A1,oa,0
2:29:10,0.094,A1,oa,0
2:59:10,0.093,A1,oa,0
3:29:10,0.092,A1,oa,0
3:59:10,0.092,A1,oa,0
4:29:10,0.092,A1,oa,0
4:59:10,0.093,A1,oa,0
5:29:10,0.095,A1,oa,0
5:59:10,0.097,A1,oa,0
6:29:10,0.1,A1,oa,0
6:59:10,0.101,A1,oa,0
7:29:10,0.103,A1,oa,0
7:59:10,0.105,A1,oa,0
8:29:10,0.107,A1,oa,0
8:59:10,0.107,A1,oa,0
9:29:10,0.11,A1,oa,0
9:59:10,0.112,A1,oa,0
10:29:10,0.114,A1,oa,0
10:59:10,0.115,A1,oa,0
11:29:10,0.117,A1,oa,0
11:59:10,0.115,A1,oa,0
12:29:10,0.119,A1,oa,0
12:59:10,0.124,A1,oa,0
13:29:10,0.129,A1,oa,0
13:59:10,0.136,A1,oa,0
14:29:10,0.143,A1,oa,0
14:59:10,0.151,A1,oa,0
15:29:10,0.159,A1,oa,0
15:59:10,0.167,A1,oa,0
16:29:10,0.174,A1,oa,0
16:59:10,0.183,A1,oa,0
17:29:10,0.188,A1,oa,0
17:59:10,0.197,A1,oa,0
18:29:10,0.209,A1,oa,0
18:59:10,0.222,A1,oa,0
19:29:10,0.239,A1,oa,0
19:59:10,0.257,A1,oa,0
20:29:10,0.276,A1,oa,0
20:59:10,0.298,A1,oa,0
21:29:10,0.329,A1,oa,0
21:59:10,0.369,A1,oa,0
22:29:10,0.426,A1,oa,0
22:59:10,0.45,A1,oa,0
23:29:10,0.523,A1,oa,0
23:59:10,0.61,A1,oa,0
24:29:10,0.661,A1,oa,0
24:59:10,0.69,A1,oa,0
25:29:10,0.703,A1,oa,0
25:59:10,0.72,A1,oa,0
26:29:10,0.738,A1,oa,0
26:59:10,0.75,A1,oa,0
27:29:10,0.769,A1,oa,0
27:59:10,0.781,A1,oa,0
28:29:10,0.796,A1,oa,0
28:59:10,0.804,A1,oa,0
29:29:10,0.833,A1,oa,0
29:59:10,0.84,A1,oa,0
30:29:10,0.857,A1,oa,0
30:59:10,0.868,A1,oa,0
31:29:10,0.883,A1,oa,0
31:59:10,0.9,A1,oa,0
32:29:10,0.919,A1,oa,0
32:59:10,0.935,A1,oa,0
33:29:10,0.95,A1,oa,0
33:59:10,0.959,A1,oa,0
34:29:10,0.971,A1,oa,0
34:59:10,0.974,A1,oa,0
35:29:10,0.986,A1,oa,0
35:59:10,0.993,A1,oa,0
36:29:10,1.001,A1,oa,0
36:59:10,1.011,A1,oa,0
37:29:10,1.021,A1,oa,0
37:59:10,1.032,A1,oa,0
38:29:10,1.039,A1,oa,0
38:59:10,1.049,A1,oa,0
39:29:10,1.056,A1,oa,0
39:59:10,1.063,A1,oa,0
40:29:10,1.07,A1,oa,0
40:59:10,1.086,A1,oa,0
41:29:10,1.11,A1,oa,0
41:59:10,1.113,A1,oa,0
42:29:10,1.129,A1,oa,0
42:59:10,1.131,A1,oa,0
43:29:10,1.131,A1,oa,0
43:59:10,1.132,A1,oa,0
44:29:10,1.129,A1,oa,0
44:59:10,1.139,A1,oa,0
45:29:10,1.136,A1,oa,0
45:59:10,1.152,A1,oa,0
46:29:10,1.138,A1,oa,0
46:59:10,1.131,A1,oa,0
47:29:10,1.117,A1,oa,0
47:59:10,1.095,A1,oa,0
48:29:10,1.076,A1,oa,0
48:59:10,1.092,A1,oa,0
49:29:10,1.083,A1,oa,0
49:59:10,1.04,A1,oa,0
50:29:10,1.055,A1,oa,0
50:59:10,1.034,A1,oa,0
51:29:10,1.062,A1,oa,0
51:59:10,1.053,A1,oa,0
52:29:10,1.048,A1,oa,0
52:59:10,1.053,A1,oa,0
53:29:10,1.023,A1,oa,0
53:59:10,1.028,A1,oa,0
54:29:10,1.011,A1,oa,0
54:59:10,1.025,A1,oa,0
55:29:10,1.008,A1,oa,0
55:59:10,1.011,A1,oa,0
56:29:10,0.998,A1,oa,0
56:59:10,0.997,A1,oa,0
57:29:10,0.989,A1,oa,0
57:59:10,1.0,A1,oa,0
58:29:10,0.979,A1,oa,0
58:59:10,0.982,A1,oa,0
59:29:10,0.975,A1,oa,0
59:59:10,0.977,A1,oa,0
60:29:10,0.992,A1,oa,0
60:59:10,1.001,A1,oa,0
61:29:10,0.972,A1,oa,0
61:59:10,0.969,A1,oa,0
62:29:10,0.986,A1,oa,0
