time,OD,well,strain,carbon_source,growth_rates
0:29:10,0.1013,B10,at,21,0.04368471035137695
0:59:10,0.1037,B10,at,21,0.061338289962825226
1:29:10,0.109,B10,at,21,0.10813226094727435
1:59:10,0.115,B10,at,21,0.13116123642439426
2:29:10,0.1241,B10,at,21,0.14106583072100307
2:59:10,0.1345,B10,at,21,0.1757443718228032
3:29:10,0.148,B10,at,21,0.3036890645586298
3:59:10,0.1629,B10,at,21,0.17627856365614805
4:29:10,0.1822,B10,at,21,0.13735070575461464
4:59:10,0.2082,B10,at,21,0.2615973218555715
5:29:10,0.2365,B10,at,21,0.2708246128087065
5:59:10,0.2658,B10,at,21,0.24470416362308256
6:29:10,0.299,B10,at,21,0.16835567178816604
6:59:10,0.3216,B10,at,21,0.1982785121426376
7:29:10,0.3611,B10,at,21,0.15361771058315335
7:59:10,0.3893,B10,at,21,0.13029827315541603
8:29:10,0.4168,B10,at,21,0.15516420752022855
8:59:10,0.4445,B10,at,21,0.10572194903889139
9:29:10,0.4714,B10,at,21,0.0703743315508021
9:59:10,0.4927,B10,at,21,0.09119300437226723
10:29:10,0.5187,B10,at,21,0.09857226677097584
10:59:10,0.5355,B10,at,21,0.06406632749199177
11:29:10,0.5605,B10,at,21,0.06455162295983864
11:59:10,0.5821,B10,at,21,0.07368793072981085
12:29:10,0.6003,B10,at,21,0.06660988074957415
12:59:10,0.6146,B10,at,21,0.04925619834710752
13:29:10,0.6345,B10,at,21,0.056258106355382725
13:59:10,0.6454,B10,at,21,0.045802720025011706
14:29:10,0.6492,B10,at,21,0.042408295929422656
14:59:10,0.6613,B10,at,21,0.05861190226352874
15:29:10,0.6845,B10,at,21,0.040718038528896563
15:59:10,0.6957,B10,at,21,0.0192805755395683
16:29:10,0.713,B10,at,21,0.04408817635270548
16:59:10,0.7211,B10,at,21,0.05332047395976847
17:29:10,0.7366,B10,at,21,0.02129391021293917
17:59:10,0.7355,B10,at,21,0.031153068105192187
18:29:10,0.756,B10,at,21,0.0415570752235665
18:59:10,0.7665,B10,at,21,0.028068813866252817
19:29:10,0.7761,B10,at,21,-0.016494054468738042
19:59:10,0.7776,B10,at,21,-0.04262036306235199
20:29:10,0.7921,B10,at,21,-0.01787381619314388
20:59:10,0.7722,B10,at,21,-0.006025709694697455
21:29:10,0.7679,B10,at,21,0.005233494363929166
21:59:10,0.768,B10,at,21,0.0258425469561742
22:29:10,0.7695,B10,at,21,0.026549829976458262
22:59:10,0.775,B10,at,21,0.015304798962386554
23:29:10,0.7815,B10,at,21,0.004765584750128847
23:59:10,0.7874,B10,at,21,-0.006066864592745484
24:29:10,0.791,B10,at,21,-0.009848386678761242
24:59:10,0.7828,B10,at,21,-0.011602137922044087
25:29:10,0.7789,B10,at,21,-0.008783429470372363
25:59:10,0.7734,B10,at,21,-0.006838506049447636
26:29:10,0.7709,B10,at,21,-0.007919746568109827
26:59:10,0.7649,B10,at,21,-0.00742311770943803
27:29:10,0.7627,B10,at,21,-0.005319148936170218
27:59:10,0.7594,B10,at,21,-0.006796375266524512
28:29:10,0.755,B10,at,21,-0.007229883518543259
28:59:10,0.7527,B10,at,21,-0.0057718120805368735
29:29:10,0.7491,B10,at,21,-0.007945057904659327
29:59:10,0.7453,B10,at,21,-0.006764984440535793
30:29:10,0.7406,B10,at,21,-0.006507592190889406
30:59:10,0.7375,B10,at,21,-0.007081574288437945
31:29:10,0.735,B10,at,21,-0.003959584926269665
31:59:10,0.7328,B10,at,21,-0.006152584085315913
32:29:10,0.7292,B10,at,21,-0.00920456106608056
32:59:10,0.7263,B10,at,21,-0.010487098109562495
33:29:10,0.7225,B10,at,21,-0.005275579619602978
33:59:10,0.7219,B10,at,21,-0.008045498682202841
34:29:10,0.7165,B10,at,21,-0.009517144856543076
34:59:10,0.714,B10,at,21,-0.004761237921859781
35:29:10,0.7122,B10,at,21,-0.005203206300098334
35:59:10,0.7097,B10,at,21,-0.007742117117117046
36:29:10,0.7062,B10,at,21,-0.006519274376417302
36:59:10,0.7051,B10,at,21,-0.007084159818645515
37:29:10,0.7023,B10,at,21,-0.01013417071081929
37:59:10,0.6996,B10,at,21,-0.006440532417346427
38:29:10,0.6975,B10,at,21,-0.007901163625915744
38:59:10,0.695,B10,at,21,-0.0079342181188691
39:29:10,0.6925,B10,at,21,-0.007095279467130055
39:59:10,0.691,B10,at,21,-0.006828417841057733
40:29:10,0.6882,B10,at,21,-0.007727073917480641
40:59:10,0.6858,B10,at,21,-0.0064421669106880805
41:29:10,0.6839,B10,at,21,-0.007336757153338231
41:59:10,0.6805,B10,at,21,-0.007079646017699154
42:29:10,0.6793,B10,at,21,-0.004876607063691563
42:59:10,0.677,B10,at,21,-0.006224988883948394
43:29:10,0.6744,B10,at,21,-0.007137546468401362
43:59:10,0.6726,B10,at,21,-0.006717420510523881
44:29:10,0.6712,B10,at,21,-0.0064371257485031155
44:59:10,0.668,B10,at,21,-0.002253605769230855
