exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.13,0.5130980549428514,0.0,65000.0,28.0,0.0,25.6875,32.25,27.470000000000027,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07598992904554817,0.0,23483.0,0.06890090703913469,0.0,0.0,40750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.21,0.5110136354521757,0.0,65000.0,28.0,0.19274999999999748,25.9375,32.125,27.590000000000032,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07902647440299077,0.0,25312.0,0.06771491782553729,0.0,0.0,36453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.26,0.5086855825145378,0.0,65000.0,28.0,0.09174999999999756,25.9375,32.0625,27.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07614251926451514,0.0,22608.0,0.07055024769992922,0.0,0.0,37571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.34,0.5074403448967315,0.0,65000.0,28.0,0.14514999999998424,26.0,32.0625,27.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07747005416952774,0.0,24464.0,0.0683453237410072,0.0,0.0,40774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.44,0.4994545819129737,0.0,65000.0,28.0,0.07084999999998501,26.0,32.125,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.076752880140383,0.0,22963.0,0.06941601707094021,0.0,0.0,38568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.49,0.49301183075997596,0.0,65000.0,28.0,0.0629499999999939,26.0625,32.125,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.0750133516441596,0.0,23514.0,0.06889512630773156,0.0,0.0,39408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.55,0.4906837778223381,0.0,65000.0,28.0,0.06444999999999339,26.5,32.0,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07592889295796139,0.0,23447.0,0.06904934533202542,0.0,0.0,37064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.62,0.48957389211951075,0.0,65000.0,28.0,0.08714999999998867,26.125,32.0,27.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.0763714045929656,0.0,23338.0,0.06945753706401576,0.0,0.0,39658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.66,0.4914958893122117,0.0,65000.0,28.0,0.08984999999998793,26.4375,31.9375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.0763408865491722,0.0,22686.0,0.07035175879396985,0.0,0.0,39189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.71,0.48873471024664117,0.0,65000.0,28.0,0.134649999999979,26.25,32.0,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07684443427176318,0.0,22529.0,0.06999866838297306,0.0,0.0,39489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.77,0.4913876077802286,0.0,65000.0,28.0,0.07054999999998046,26.6875,31.9375,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07522697795071336,0.0,22052.0,0.07042445129693452,0.0,0.0,38097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.81,0.492226789653098,0.0,65000.0,28.0,0.056449999999979086,26.8125,31.9375,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07553215838864728,0.0,23091.0,0.06985405569269412,0.0,0.0,39625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
