exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
188772.87,0.576388610387006,0,65000,28,0.0949999999974773,25.625,31.9375,27.79,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.0607461661707485,0,39979,0.0497010930738638,0,0,65535,0,0,0,0,0,0,0
188832.91,0.593388810908362,0,65000,28,0,25.875,32,28.45,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.0603341725795377,0,39939,0.050151481008538,0,0,65535,0,0,0,0,0,0,0
188892.97,0.577227792259876,0,65000,28,0,26.25,32.0625,28.77,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.0621194781414511,0,40715,0.0499078963526956,0,0,65535,0,0,0,0,0,0,0
188953.04,0.574358331662322,0,65000,28,0,26.3125,32.125,28.39,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.061875333791104,0,40186,0.0500174190016424,0,0,65535,0,0,0,0,0,0,0
189013.12,0.580043112091438,0,65000,28,0,26.1875,32.0625,28.59,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.0619821469443809,0,40297,0.0501774325632181,0,0,65535,0,0,0,0,0,0,0
189073.16,0.581775616603168,0,65000,28,0,26.1875,32,28.39,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.063080796520943,0,40469,0.0500877214658133,0,0,65535,0,0,0,0,0,0,0
189133.22,0.580611590134349,0,65000,28,0,26.0625,32,28.11,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.0633554589150835,0,40168,0.05008962358096,0,0,65535,0,0,0,0,0,0,0
189193.27,0.589923801884901,0,65000,28,0.00264999999999759,26.0625,32.125,27.85,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.0626535439078355,0,40629,0.0499643112062812,0,0,17828,0,0,0,0,0,0,0
189253.35,0.585348907158612,0,65000,28,0.0368499999999983,26,32.25,27.59,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.062577248798352,0,40044,0.0499700329637399,0,0,17766,0,0,0,0,0,0,0
189313.38,0.572409264086625,0,65000,28,0.033749999999992,26,32.1875,27.81,0,0,0,0,0,20,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,65535,0.0634927901121538,0,41084,0.0498734300457599,0,0,18330,0,0,0,0,0,0,0
