exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.13,0.49163124122719065,0.0,65000.0,28.0,1.0,24.625,32.9375,25.350000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07775997558556497,0.0,23894.0,0.05486733071063865,0.0,0.0,42655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.19,0.40657609785442145,0.0,65000.0,28.0,0.24079999999999557,25.3125,32.9375,27.350000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07655451285572595,0.0,24946.0,0.054557844945081375,0.0,0.0,43364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.23,0.4348105073190295,0.0,65000.0,28.0,0.07769999999999272,25.8125,32.9375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.0763408865491722,0.0,25716.0,0.05377974801679888,0.0,0.0,41721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.27,0.3935011028674554,0.0,65000.0,28.0,0.0046999999999837935,26.1875,32.875,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07579156176089112,0.0,26507.0,0.05345757724374693,0.0,0.0,43727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.37,0.4073611389612994,0.0,65000.0,28.0,0.02319999999999369,26.1875,32.875,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07627985046158542,0.0,26185.0,0.05350391445484056,0.0,0.0,42583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.41,0.4417675957489472,0.0,65000.0,28.0,0.03289999999998316,26.375,32.875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07597467002365148,0.0,25600.0,0.0541796875,0.0,0.0,44190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.45,0.4454762382193703,0.0,65000.0,28.0,0.08999999999998892,26.375,32.9375,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.0776379034103914,0.0,24412.0,0.05460429297067016,0.0,0.0,40900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.47,0.41975937437337074,0.0,65000.0,28.0,0.053199999999991414,26.5,32.9375,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07647821774624247,0.0,26597.0,0.054103846298454716,0.0,0.0,41212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.54,0.4303168237417284,0.0,65000.0,28.0,0.10389999999997798,26.5,33.0,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07663080796520944,0.0,26541.0,0.05406729211408764,0.0,0.0,43130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.6,0.4463966312412272,0.0,65000.0,28.0,0.062199999999990055,26.5625,33.0625,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,65535.0,0.07673762111848631,0.0,25730.0,0.054644383987563154,0.0,0.0,41607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
