exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.16,0.09941795504742107,0.0,65000.0,28.0,1.0,23.9375,32.5625,23.090000000000032,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,5110.0,0.02681017612524462,0.17299412915851273,0.0,134.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.26,0.1009770040275432,0.0,65000.0,28.0,1.0,24.0,32.625,24.590000000000032,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,5069.0,0.026829749457486684,0.17222331820871967,0.0,138.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.33,0.1030416699080279,0.0,65000.0,28.0,0.32594999999998975,24.875,32.6875,26.730000000000018,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,4990.0,0.026452905811623247,0.1717434869739479,0.0,132.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.41,0.10736345713818646,0.0,65000.0,28.0,0.048249999999996754,25.625,32.6875,27.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,4916.0,0.02644426362896664,0.17046379170056958,0.0,129.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.47,0.09763966480446927,0.0,65000.0,28.0,0.0,25.75,32.6875,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,4952.0,0.02665589660743134,0.17003231017770598,0.0,131.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.54,0.10027543198648824,0.0,65000.0,28.0,0.04794999999999533,25.9375,32.6875,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,4933.0,0.02594769916886276,0.16967362659639165,0.0,128.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.61,0.09508185007145642,0.0,65000.0,28.0,0.012649999999983091,26.25,32.6875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,4875.0,0.02605128205128205,0.16841025641025642,0.0,127.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.71,0.09870663895024034,0.0,65000.0,28.0,0.04354999999998341,26.3125,32.6875,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,5080.0,0.025984251968503937,0.1700787401574803,0.0,128.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.78,0.10684694239857269,0.0,65000.0,28.0,0.08864999999998929,26.125,32.625,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,4967.0,0.0263740688544393,0.16871350916045902,0.0,130.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.86,0.10446537612056644,0.0,65000.0,28.0,0.05754999999999256,26.1875,32.625,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,4910.0,0.026272912423625255,0.1684317718940937,0.0,131.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
