species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
ct,M1,139.56,-2,22|20|20,,206666.66666666666,11547.005383792515,2700206666.6666665,7.653735146198686e-05
ct,M1,146.25,-2,37|24|28,,296666.6666666667,66583.28118479393,1733630000.0,0.00017112455752765394
ct,M1,163.37,-2,33|31|33,,323333.3333333333,11547.005383792515,2000323333.3333333,0.00016164053478021052
ct,M1,170.08,-3,26|20|30,,2533333.3333333335,503322.2956847166,705066666.6666666,0.0035930408472012107
ct,M1,170.08,-3,26|20|30,,2533333.3333333335,503322.2956847166,705066666.6666666,0.0035930408472012107
ct,M1,187.33,-4,22|22|6,,16666666.666666666,9237604.307034012,1783333333.3333335,0.009345794392523364
ct,M1,194.14,-4,11|19|35,,21666666.666666668,12220201.853215573,1321666666.6666667,0.01639344262295082
ct,M1,212.3,-5,3|3|5,,36666666.666666664,11547005.383792512,1170000000.0,0.031339031339031334
ct,M1,238.6,-4,40|35|36,,37000000.0,2645751.3110645907,263666666.66666666,0.14032869785082175
ct,M1,262.32,-4,32|30|40,,34000000.0,5291502.622129181,120666666.66666666,0.281767955801105
ct,M1,287.45,-5,4|11|8,,76666666.66666666,35118845.84284247,94666666.66666666,0.8098591549295775
ct,M1,313.32,-5,6|7|6,,63333333.333333336,5773502.691896258,69000000.0,0.9178743961352658
ct,M1,336.77,-5,16|23|27,,220000000.0,55677643.628300235,220000000.0,1.0
ct,M1,355.28,-5,8|11|18,,123333333.33333331,51316014.39446883,123333333.33333331,1.0
ct,M1,380.4,-5,18|25|32,,249999999.99999997,69999999.99999999,249999999.99999997,1.0
ct,M1,452.9,-5,15|13|9,,123333333.33333331,30550504.633038927,123333333.33333331,1.0
ct,M1,475.87,-6,6|5|6,,566666666.6666666,57735026.918962575,566666666.6666666,1.0
ct,M1,501.81,-5,27|11|24,,206666666.66666666,85049005.48115382,206666666.66666666,1.0
ct,M1,524.35,-5,34|29|27,,299999999.99999994,36055512.75463987,299999999.99999994,1.0
ct,M1,552.21,-5,19|17|11,,156666666.66666666,41633319.98932263,156666666.66666666,1.0
ct,M1,575.26,-5,17|15|19,,169999999.99999997,20000000.0,169999999.99999997,1.0
