species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
oa,M3,115.78,-6,7|10|4,,700000000.0,300000000.0,700000000.0,1.0
oa,M3,120.9,-6,6|8|5,,633333333.3333334,152752523.16519466,633333333.3333334,1.0
oa,M3,139.56,-5,16|23|23,,206666666.66666666,40414518.84327382,206669833.3333333,0.9999846776541328
oa,M3,146.25,-5,24|24|24,,240000000.0,0.0,240310000.0,0.9987099995838709
oa,M3,163.37,-6,23|16|24,,2100000000.0,435889894.3540673,2460000000.0,0.8536585365853658
oa,M3,170.08,-6,11|17|16,,1466666666.6666667,321455025.36643183,1693333333.3333335,0.8661417322834646
oa,M3,187.33,-6,27|25|25,,2566666666.6666665,115470053.83792515,2780000000.0,0.9232613908872901
oa,M3,194.14,-6,6|6|7,,633333333.3333334,57735026.918962575,863333333.3333334,0.7335907335907336
oa,M3,212.3,-6,3|5|6,,466666666.6666667,152752523.16519466,630000000.0,0.7407407407407408
oa,M3,238.6,-4,27|31|30,,29333333.333333332,2081665.9994661326,72666666.66666666,0.4036697247706422
oa,M3,262.32,-5,14|14|14,,140000000.0,0.0,343333333.3333333,0.4077669902912622
oa,M3,287.45,-3,52|35|42,,4300000.0,854400.3745317531,14633333.333333334,0.2938496583143508
oa,M3,313.32,-4,16|17|18,,17000000.0,1000000.0,39333333.33333333,0.43220338983050854
