species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
ct,M4,115.78,-5,27|24|25,,253333333.33333334,15275252.316519465,1153333333.3333333,0.21965317919075147
ct,M4,120.9,-5,18|19|20,,189999999.99999997,10000000.0,1323333333.3333333,0.14357682619647355
ct,M4,139.56,-5,13|13|22,,160000000.0,51961524.227066316,1193333333.3333335,0.13407821229050276
ct,M4,146.25,-5,20|10|15,,149999999.99999997,49999999.99999999,783333333.3333334,0.1914893617021276
ct,M4,163.37,-5,10|12|9,,103333333.33333333,15275252.316519475,1136666666.6666667,0.0909090909090909
ct,M4,170.08,-5,15|14|17,,153333333.3333333,15275252.316519454,1220000000.0,0.1256830601092896
ct,M4,187.33,-5,6|9|8,,76666666.66666666,15275252.31651946,1876666666.6666667,0.0408525754884547
ct,M4,194.14,-5,13|8|11,,106666666.66666666,25166114.78423584,906666666.6666666,0.11764705882352941
ct,M4,212.3,-5,24|13|12,,163333333.33333334,66583281.18479393,1263333333.3333333,0.12928759894459105
ct,M4,238.6,-5,9|12|15,,119999999.99999999,29999999.999999993,213333333.3333333,0.5625
ct,M4,262.32,-4,27|45|33,,35000000.0,9165151.38991168,91666666.66666666,0.38181818181818183
ct,M4,287.45,-5,7|4|5,,53333333.33333333,15275252.31651947,116666666.66666666,0.45714285714285713
ct,M4,313.32,-5,9|10|15|19,,132499999.99999997,46457866.21588784,159499999.99999997,0.8307210031347962
ct,M4,336.77,-5,7|8|5|4,,59999999.99999999,18257418.583505534,66999999.99999999,0.8955223880597015
ct,M4,355.28,-5,9|10|12|15,,114999999.99999999,26457513.1106459,124999999.99999999,0.92
ct,M4,380.4,-5,10|12|18,,133333333.33333331,41633319.98932264,140333333.3333333,0.9501187648456056
ct,M4,475.87,-5,6|6|6|6,,60000000.0,0.0,60000000.0,1.0
