species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
oa,M4,115.78,-6,10|9|8,,900000000.0,100000000.0,1153333333.3333333,0.7803468208092486
oa,M4,120.9,-6,10|7|17,,1133333333.3333333,513160143.94468844,1323333333.3333333,0.8564231738035264
oa,M4,139.56,-6,10|12|9,,1033333333.3333334,152752523.16519466,1193333333.3333335,0.8659217877094971
oa,M4,146.25,-6,6|6|7,,633333333.3333334,57735026.918962575,783333333.3333334,0.8085106382978724
oa,M4,163.37,-6,13|7|11,,1033333333.3333334,305505046.3303893,1136666666.6666667,0.9090909090909091
oa,M4,170.08,-6,9|11|12,,1066666666.6666666,152752523.16519466,1220000000.0,0.8743169398907104
oa,M4,187.33,-6,17|21|16,,1800000000.0,264575131.10645905,1876666666.6666667,0.9591474245115452
oa,M4,194.14,-6,9|9|6,,800000000.0,173205080.75688773,906666666.6666666,0.8823529411764707
oa,M4,212.3,-6,6|10|17,,1100000000.0,556776436.2830021,1263333333.3333333,0.870712401055409
oa,M4,238.6,-5,12|7|9,,93333333.33333333,25166114.78423583,213333333.3333333,0.4375
oa,M4,262.32,-5,6|5|6,,56666666.666666664,5773502.691896262,91666666.66666666,0.6181818181818183
oa,M4,287.45,-5,5|8|6,,63333333.33333333,15275252.316519462,116666666.66666666,0.5428571428571428
oa,M4,313.32,-4,28|21|32,,27000000.0,5567764.362830022,159499999.99999997,0.16927899686520378
oa,M4,336.77,-4,6|7|8,,7000000.0,1000000.0,66999999.99999999,0.10447761194029852
oa,M4,355.28,-4,9|10|11|10,,10000000.0,816496.580927726,124999999.99999999,0.08000000000000002
oa,M4,380.4,-4,6|7|6|9,,7000000.0,1414213.562373095,140333333.3333333,0.049881235154394306
