600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
0:29:10	28.0	0.1111	0.1153	0.1104	0.1090	0.1102	0.1109	0.1110	0.1112	0.1114	0.1126	0.1105	0.1096
0:59:10	28.1	0.1138	0.1144	0.1116	0.1107	0.1115	0.1126	0.1130	0.1132	0.1134	0.1135	0.1134	0.1119
1:29:10	28.1	0.1172	0.1178	0.1164	0.1153	0.1160	0.1170	0.1170	0.1179	0.1181	0.1187	0.1170	0.1163
1:59:10	28.1	0.1228	0.1247	0.1219	0.1199	0.1219	0.1225	0.1231	0.1235	0.1235	0.1248	0.1238	0.1207
2:29:10	28.0	0.1318	0.1319	0.1306	0.1284	0.1299	0.1297	0.1296	0.1293	0.1295	0.1296	0.1287	0.1261
2:59:10	28.1	0.1370	0.1379	0.1353	0.1340	0.1353	0.1356	0.1364	0.1369	0.1369	0.1381	0.1373	0.1350
3:29:10	28.1	0.1439	0.1437	0.1425	0.1410	0.1421	0.1426	0.1429	0.1435	0.1437	0.1438	0.1423	0.1414
3:59:10	28.1	0.1539	0.1536	0.1525	0.1504	0.1521	0.1522	0.1526	0.1529	0.1533	0.1531	0.1516	0.1511
4:29:10	28.1	0.1710	0.1700	0.1683	0.1661	0.1679	0.1675	0.1678	0.1686	0.1684	0.1699	0.1682	0.1671
4:59:10	28.1	0.1913	0.1893	0.1891	0.1855	0.1883	0.1892	0.1884	0.1882	0.1889	0.1862	0.1836	0.1819
5:29:10	28.1	0.2343	0.2367	0.2321	0.2333	0.2424	0.2413	0.2358	0.2470	0.2358	0.2320	0.2549	0.2246
5:59:10	28.1	0.2651	0.2681	0.2603	0.2641	0.2722	0.2711	0.2669	0.2643	0.2636	0.2655	0.2839	0.2597
6:29:10	28.1	0.2968	0.2979	0.2903	0.2911	0.3011	0.2974	0.3034	0.2982	0.2967	0.2924	0.3016	0.2883
6:59:10	28.1	0.3270	0.3241	0.3130	0.3180	0.3269	0.3280	0.3277	0.3219	0.3222	0.3291	0.3262	0.3219
7:29:10	28.1	0.3599	0.3664	0.3617	0.3580	0.3661	0.3628	0.3631	0.3612	0.3601	0.3605	0.3552	0.3493
7:59:10	28.1	0.3963	0.4063	0.4058	0.4087	0.4167	0.4123	0.4064	0.4068	0.3997	0.3960	0.3822	0.3570
8:29:10	28.1	0.4286	0.4500	0.4470	0.4397	0.4399	0.4306	0.4296	0.4314	0.4276	0.4350	0.4285	0.4199
8:59:10	28.1	0.4410	0.4684	0.4447	0.4556	0.4726	0.4588	0.4520	0.4559	0.4487	0.4559	0.4430	0.4541
9:29:10	28.1	0.4642	0.4753	0.4636	0.4632	0.4778	0.4798	0.4715	0.4788	0.4743	0.4875	0.4828	0.5111
9:59:10	28.1	0.5205	0.5218	0.5004	0.4957	0.5166	0.5155	0.5085	0.5149	0.5189	0.5254	0.5171	0.5475
10:29:10	28.1	0.5578	0.5531	0.5369	0.5239	0.5449	0.5434	0.5341	0.5477	0.5509	0.5593	0.5617	0.5934
10:59:10	28.1	0.5854	0.5934	0.5780	0.5664	0.5800	0.5813	0.5790	0.5881	0.5834	0.5934	0.5901	0.6313
11:29:10	28.1	0.6325	0.6253	0.6133	0.6188	0.6280	0.6278	0.6265	0.6302	0.6292	0.6399	0.6267	0.6601
11:59:10	28.1	0.6478	0.6483	0.6449	0.6485	0.6558	0.6584	0.6526	0.6568	0.6647	0.6686	0.6553	0.6831
12:29:10	28.1	0.6919	0.6963	0.6923	0.6984	0.7075	0.7051	0.7035	0.7104	0.7184	0.7256	0.7228	0.7082
12:59:10	28.1	0.7211	0.7130	0.7126	0.7197	0.7262	0.7218	0.7158	0.7328	0.7498	0.7557	0.7592	0.7256
