exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.07897600451422018,0.0,12158.477739959739,28.0,0.0,29.5625,35.125,28.650000000000034,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19422.0,0.10482957470909278,0.03995469055710019,0.0,2027.0,772.0,0.0,2022.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
60.26,0.12957594398930067,0.0,12158.477739959739,28.0,0.0,29.1875,35.1875,28.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19253.0,0.10600945307224847,0.040461226821794004,0.0,2039.0,777.0,0.0,2049.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0
120.31,0.1280888270356605,0.0,12158.477739959739,28.0,0.0,29.0625,35.1875,28.890000000000043,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19864.0,0.10405759162303665,0.039569069673781716,0.0,2047.0,781.0,0.0,2046.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0
180.35,0.15180512411799843,0.0,12158.477739959739,28.0,0.0,28.875,35.1875,28.53000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19677.0,0.1045382934390405,0.03974183056360218,0.0,2043.0,780.0,0.0,2045.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0
240.39,0.12889243187427576,0.0,12158.477739959739,28.0,0.0,28.6875,35.1875,28.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19848.0,0.10388956066102378,0.03970173317210802,0.0,2057.0,780.0,0.0,2058.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0
300.44,0.094982212222012,0.0,12158.477739959739,28.0,0.0,28.625,35.125,28.630000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19828.0,0.10379261650191648,0.03954004438168247,0.0,2048.0,777.0,0.0,2049.0,778.0,0.0,0.0,0.0,0.0,0.0,0.0
360.48,0.14676937640601828,0.0,12158.477739959739,28.0,0.0,28.5625,35.1875,28.77000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20047.0,0.10335711078964434,0.03930762707637053,0.0,2050.0,782.0,0.0,2059.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0
420.53,0.1638305319987523,0.0,12158.477739959739,28.0,0.0,28.375,35.1875,28.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19995.0,0.10387596899224806,0.03950987746936734,0.0,2072.0,789.0,0.0,2066.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0
480.6,0.1722048629343496,0.0,12158.477739959739,28.0,0.0,28.25,35.25,28.630000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,19961.0,0.10395270778017134,0.03952707780171334,0.0,2076.0,786.0,0.0,2071.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0
540.67,0.17155882284706822,0.0,12158.477739959739,28.0,0.0,28.125,35.1875,28.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20035.0,0.1037684052907412,0.03943099575742451,0.0,2077.0,788.0,0.0,2072.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0
600.75,0.18395854733066658,0.0,12158.477739959739,28.0,0.0,28.0625,35.25,28.650000000000034,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,20026.0,0.10381504044741835,0.039498651752721464,0.0,2086.0,793.0,0.0,2070.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0
