exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.14,0.0,0.0,65000.0,28.0,0.3449999999999895,24.6875,33.9375,26.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15546.0,0.0,0.012028817702302843,6776.0,0.0,0.019923258559622195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.19,0.07724535533324671,0.0,65000.0,28.0,0.14529999999998494,25.6875,33.875,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15530.0,0.0,0.01236316806181584,6801.0,0.0,0.02014409645640347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.27,0.07973983370144211,0.0,65000.0,28.0,0.05299999999998533,26.0625,33.625,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15499.0,0.0,0.012194335118394736,6729.0,0.0,0.019467974438995395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.35,0.08607834221125112,0.0,65000.0,28.0,0.05709999999999411,26.3125,33.5,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15551.0,0.0,0.012153559256639444,6747.0,0.0,0.01956425077812361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.43,0.0896154345849032,0.0,65000.0,28.0,0.021499999999982145,26.5,33.375,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15652.0,0.0,0.012075134168157423,6697.0,0.0,0.01971031805285949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.51,0.08704787579576458,0.0,65000.0,28.0,0.024699999999990882,26.625,33.125,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15719.0,0.0,0.012150900184490108,6705.0,0.0,0.019686800894854587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.59,0.08393952189164608,0.0,65000.0,28.0,0.022899999999989956,26.6875,33.0,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15563.0,0.0,0.012144188138533702,6677.0,0.0,0.019320053916429533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.66,0.07772768611147199,0.0,65000.0,28.0,0.06199999999998111,26.75,32.9375,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15548.0,0.0,0.012155904296372524,6690.0,0.0,0.019581464872944692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.7,0.08084578407171625,0.0,65000.0,28.0,0.06259999999997971,26.8125,32.75,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15574.0,0.0,0.01213561063310646,6661.0,0.0,0.019966971926137216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.74,0.08325256593477978,0.0,65000.0,28.0,0.004899999999986145,26.875,32.6875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15629.0,0.0,0.0121568878367138,6676.0,0.0,0.019322947872977832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.82,0.08504060023385734,0.0,65000.0,28.0,0.08909999999998403,26.8125,32.6875,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15660.0,0.0,0.01206896551724138,6661.0,0.0,0.019216333883801232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.89,0.08660452124204236,0.0,65000.0,28.0,0.03969999999998633,26.875,32.625,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15636.0,0.0,0.012087490406753646,6670.0,0.0,0.019190404797601198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.94,0.08685299467324932,0.0,65000.0,28.0,0.041799999999986126,26.9375,32.625,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15709.0,0.0,0.012158635177286905,6660.0,0.0,0.019069069069069067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781.01,0.07681174483565024,0.0,65000.0,28.0,0.0717999999999864,26.9375,32.4375,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15633.0,0.0,0.012153777266039788,6656.0,0.0,0.019981971153846152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841.08,0.08204917500324801,0.0,65000.0,28.0,0.040899999999984386,26.9375,32.375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15702.0,0.0,0.01203668322506687,6649.0,0.0,0.019100616634080313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
