Time,T° OD:600,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9
0:09:10,28.0,0.117,0.117,0.118,0.120,0.120,0.121,0.122,0.121,0.122,0.078,0.078,0.079,0.079,0.079,0.079,0.078,0.078,0.078,0.079
0:19:10,28.0,0.116,0.117,0.118,0.120,0.121,0.121,0.123,0.121,0.122,0.078,0.078,0.079,0.079,0.079,0.080,0.078,0.078,0.078,0.079
0:29:10,28.0,0.115,0.117,0.118,0.121,0.122,0.120,0.123,0.122,0.123,0.078,0.078,0.079,0.079,0.079,0.080,0.078,0.078,0.078,0.079
0:39:10,28.1,0.115,0.117,0.117,0.122,0.121,0.120,0.125,0.124,0.124,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
0:49:10,28.1,0.115,0.117,0.117,0.120,0.120,0.119,0.126,0.125,0.125,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.078,0.078,0.079
0:59:10,28.2,0.117,0.117,0.118,0.120,0.121,0.121,0.128,0.126,0.127,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.078,0.078,0.079
1:09:10,28.2,0.119,0.118,0.118,0.120,0.121,0.121,0.129,0.128,0.128,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.078,0.078,0.079
1:19:10,28.3,0.120,0.119,0.119,0.121,0.121,0.121,0.130,0.129,0.129,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
1:29:10,28.4,0.120,0.119,0.121,0.121,0.121,0.121,0.131,0.130,0.131,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
1:39:10,28.4,0.121,0.121,0.123,0.120,0.121,0.120,0.133,0.131,0.132,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
1:49:10,28.4,0.122,0.120,0.124,0.121,0.121,0.121,0.134,0.132,0.134,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.078,0.078,0.079
1:59:10,28.4,0.123,0.123,0.125,0.121,0.121,0.120,0.136,0.134,0.135,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
2:09:10,28.5,0.124,0.125,0.127,0.121,0.121,0.120,0.137,0.136,0.137,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
2:19:10,28.5,0.123,0.127,0.128,0.121,0.121,0.120,0.139,0.137,0.139,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
2:29:10,28.5,0.125,0.129,0.129,0.120,0.120,0.120,0.141,0.139,0.140,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
2:39:10,28.5,0.126,0.132,0.131,0.120,0.120,0.120,0.142,0.141,0.143,0.079,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
2:49:10,28.5,0.127,0.133,0.132,0.121,0.120,0.120,0.145,0.144,0.146,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
2:59:10,28.5,0.129,0.135,0.133,0.121,0.120,0.120,0.145,0.144,0.146,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
3:09:10,28.5,0.129,0.135,0.133,0.121,0.120,0.120,0.148,0.147,0.148,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
3:19:10,28.5,0.131,0.137,0.135,0.121,0.120,0.120,0.149,0.149,0.150,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
3:29:10,28.5,0.132,0.137,0.136,0.121,0.120,0.120,0.151,0.153,0.154,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
3:39:10,28.5,0.134,0.139,0.138,0.121,0.120,0.120,0.154,0.152,0.155,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
3:49:10,28.5,0.135,0.140,0.139,0.121,0.120,0.120,0.157,0.157,0.159,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
3:59:10,28.5,0.137,0.142,0.141,0.121,0.120,0.120,0.161,0.160,0.162,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
4:09:10,28.5,0.138,0.143,0.143,0.121,0.120,0.121,0.166,0.163,0.167,0.078,0.079,0.079,0.079,0.080,0.080,0.078,0.079,0.078,0.079
4:19:10,28.5,0.140,0.145,0.146,0.122,0.121,0.122,0.171,0.169,0.171,0.079,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
4:29:10,28.5,0.141,0.146,0.147,0.122,0.121,0.122,0.178,0.175,0.177,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
4:39:10,28.5,0.144,0.148,0.151,0.123,0.123,0.124,0.186,0.183,0.184,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
4:49:10,28.5,0.146,0.151,0.154,0.124,0.124,0.126,0.194,0.190,0.192,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
4:59:10,28.5,0.148,0.153,0.157,0.126,0.125,0.127,0.203,0.199,0.199,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.079
5:09:10,28.5,0.151,0.157,0.161,0.128,0.127,0.129,0.211,0.207,0.206,0.079,0.079,0.080,0.079,0.080,0.081,0.079,0.079,0.079,0.080
5:19:10,28.5,0.154,0.161,0.165,0.130,0.129,0.132,0.221,0.217,0.215,0.079,0.079,0.080,0.079,0.080,0.081,0.079,0.079,0.079,0.080
5:29:10,28.5,0.156,0.164,0.169,0.132,0.131,0.134,0.228,0.223,0.222,0.078,0.079,0.080,0.079,0.080,0.080,0.079,0.079,0.078,0.079
5:39:10,28.5,0.159,0.167,0.172,0.135,0.134,0.137,0.238,0.233,0.231,0.078,0.079,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.080
5:49:10,28.5,0.162,0.170,0.176,0.138,0.136,0.140,0.251,0.242,0.240,0.078,0.080,0.080,0.079,0.080,0.080,0.079,0.079,0.078,0.080
5:59:10,28.5,0.165,0.174,0.181,0.143,0.140,0.144,0.276,0.258,0.254,0.078,0.079,0.080,0.079,0.080,0.081,0.079,0.079,0.079,0.080
6:09:10,28.5,0.169,0.181,0.187,0.148,0.145,0.150,0.314,0.288,0.276,0.079,0.080,0.080,0.080,0.080,0.081,0.079,0.079,0.079,0.080
