Time,T600,B2,B3,B4,B5,C2,C3,C4
0:09:10,23.4,0.115,0.122,0.114,0.079,0.079,0.082,0.079
0:19:10,23.6,0.115,0.115,0.115,0.079,0.079,0.08,0.079
0:29:10,23.8,0.117,0.116,0.116,0.079,0.079,0.08,0.079
0:39:10,24.1,0.117,0.115,0.117,0.079,0.079,0.08,0.079
0:49:10,24.3,0.119,0.117,0.118,0.079,0.079,0.08,0.079
0:59:10,24.5,0.119,0.118,0.119,0.079,0.079,0.08,0.079
1:09:10,24.7,0.12,0.119,0.119,0.079,0.079,0.08,0.079
1:19:10,24.9,0.118,0.118,0.119,0.079,0.079,0.08,0.079
1:29:10,25.1,0.118,0.118,0.119,0.079,0.079,0.08,0.079
1:39:10,25.2,0.118,0.117,0.118,0.079,0.079,0.08,0.079
1:49:10,25.3,0.117,0.117,0.118,0.079,0.079,0.08,0.079
1:59:10,25.5,0.116,0.116,0.117,0.079,0.079,0.08,0.079
2:09:10,25.6,0.116,0.115,0.117,0.079,0.079,0.08,0.079
2:19:10,25.7,0.116,0.115,0.116,0.079,0.079,0.08,0.08
2:29:10,25.7,0.116,0.115,0.117,0.08,0.079,0.08,0.08
2:39:10,25.8,0.115,0.115,0.117,0.08,0.079,0.08,0.079
2:49:10,25.8,0.116,0.115,0.116,0.08,0.079,0.08,0.08
2:59:10,25.9,0.115,0.115,0.116,0.08,0.079,0.08,0.079
3:09:10,25.9,0.116,0.115,0.116,0.08,0.079,0.08,0.08
3:19:10,25.9,0.115,0.114,0.116,0.08,0.08,0.08,0.08
3:29:10,25.9,0.115,0.114,0.116,0.08,0.08,0.08,0.08
3:39:10,25.9,0.115,0.114,0.115,0.08,0.08,0.08,0.08
3:49:10,25.9,0.114,0.113,0.115,0.08,0.079,0.08,0.08
3:59:10,26,0.114,0.113,0.114,0.08,0.08,0.08,0.08
4:09:10,26,0.113,0.112,0.114,0.08,0.079,0.08,0.08
4:19:10,26,0.113,0.112,0.114,0.08,0.08,0.08,0.08
