exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.13,0.0,0.0,65000.0,28.0,0.03954999999999785,25.0,33.875,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,14832.0,0.0,0.010922330097087379,6050.0,0.0,0.018677685950413223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.74,0.0823171365467065,0.0,65000.0,28.0,0.004849999999985925,25.75,33.8125,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15024.0,0.0,0.010915867944621939,5985.0,0.0,0.01821219715956558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.78,0.08096758477328828,0.0,65000.0,28.0,0.026349999999995644,26.0,33.625,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15020.0,0.0,0.010985352862849533,5980.0,0.0,0.018561872909698997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.84,0.0824243211640899,0.0,65000.0,28.0,0.07524999999999721,26.1875,33.5,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,14946.0,0.0,0.010972835541281948,5910.0,0.0,0.01793570219966159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.91,0.08817331427829023,0.0,65000.0,28.0,0.04024999999998556,26.25,33.375,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15041.0,0.0,0.01090353035037564,5924.0,0.0,0.0187373396353815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301.98,0.08365207223593607,0.0,65000.0,28.0,0.011149999999983604,26.375,33.125,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15045.0,0.0,0.010900631439016284,5909.0,0.0,0.017938737519038756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362.06,0.08108938547486033,0.0,65000.0,28.0,0.05474999999998914,26.4375,33.0,27.670000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,14959.0,0.0,0.010896450297479779,5874.0,0.0,0.018215866530473274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422.12,0.07986163440301414,0.0,65000.0,28.0,0.06774999999999409,26.4375,32.9375,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15067.0,0.0,0.01095108515298334,5897.0,0.0,0.018314397151093776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482.2,0.08736455761985187,0.0,65000.0,28.0,0.05074999999998284,26.5,32.75,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15020.0,0.0,0.01085219707057257,5859.0,0.0,0.018603857313534734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542.28,0.08402721839677796,0.0,65000.0,28.0,0.09054999999999352,26.5,32.6875,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15089.0,0.0,0.010935118298097951,5885.0,0.0,0.01784197111299915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.33,0.07930622320384564,0.0,65000.0,28.0,0.06444999999999226,26.5,32.75,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15118.0,0.0,0.010980288397936236,5844.0,0.0,0.018309377138945926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662.38,0.08220020787319735,0.0,65000.0,28.0,0.062149999999981845,26.5625,32.625,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15077.0,0.0,0.010877495522982025,5880.0,0.0,0.018537414965986394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722.45,0.07934032740028582,0.0,65000.0,28.0,0.06094999999998038,26.625,32.5625,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15062.0,0.0,0.011021112734032666,5862.0,0.0,0.01842374616171955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782.51,0.07911134208133039,0.0,65000.0,28.0,0.08214999999999037,26.5625,32.4375,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,14972.0,0.0,0.010953780390061448,5852.0,0.0,0.018113465481886533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842.58,0.07647070287124852,0.0,65000.0,28.0,0.032149999999978154,26.625,32.4375,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15005.0,0.0,0.0109296901032989,5854.0,0.0,0.018107277075503928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902.62,0.07648531895543717,0.0,65000.0,28.0,0.07244999999998328,26.625,32.375,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,14848.0,0.0,0.011045258620689655,5842.0,0.0,0.01814447107155084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962.68,0.08094809666103676,0.0,65000.0,28.0,0.017749999999975334,26.625,32.375,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15074.0,0.0,0.01094599973464243,5880.0,0.0,0.01802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1022.72,0.08677017019618033,0.0,65000.0,28.0,0.04564999999997497,26.5625,32.3125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15142.0,0.0,0.010896843217540616,5877.0,0.0,0.018036413135953718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1082.77,0.0796862413927504,0.0,65000.0,28.0,0.09984999999998592,26.5625,32.25,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15002.0,0.0,0.010798560191974404,5886.0,0.0,0.0181787291879035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1142.83,0.07614914901909833,0.0,65000.0,28.0,0.033649999999972514,26.5625,32.125,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15018.0,0.0,0.011053402583566387,5904.0,0.0,0.017784552845528455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202.89,0.07800051968299336,0.0,65000.0,28.0,0.06424999999997225,26.5625,32.125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15092.0,0.0,0.010999204876755897,5874.0,0.0,0.018386108273748723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262.94,0.08049987007925165,0.0,65000.0,28.0,0.048049999999970214,26.5625,32.1875,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15020.0,0.0,0.010918774966711052,5888.0,0.0,0.018512228260869564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1322.98,0.07743536442769909,0.0,65000.0,28.0,0.07334999999997477,26.5,32.1875,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15031.0,0.0,0.01097731355199255,5878.0,0.0,0.01837359646138142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1383.06,0.07691405742497076,0.0,65000.0,28.0,0.09374999999997469,26.5,32.1875,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15171.0,0.0,0.010876013446707534,5895.0,0.0,0.0183206106870229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443.11,0.07649019098350004,0.0,65000.0,28.0,0.055849999999967384,26.5625,32.125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15141.0,0.0,0.010963608744468662,5902.0,0.0,0.018637749915282956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1503.18,0.07929647914771988,0.0,65000.0,28.0,0.0390499999999659,26.625,32.125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15139.0,0.0,0.010899002576127881,5886.0,0.0,0.0181787291879035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1563.26,0.07958880083149278,0.0,65000.0,28.0,0.05314999999996558,26.5625,32.125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15055.0,0.0,0.010959814015277316,5876.0,0.0,0.018379850238257316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1623.31,0.07622710146810445,0.0,65000.0,28.0,0.09674999999997111,26.5625,32.0,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15031.0,0.0,0.010844255205907791,5870.0,0.0,0.01805792163543441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683.38,0.0780443679355593,0.0,65000.0,28.0,0.09384999999997545,26.5625,32.0625,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15027.0,0.0,0.011046782458241831,5896.0,0.0,0.018147896879240163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743.46,0.08413440301416136,0.0,65000.0,28.0,0.01824999999997231,26.625,32.1875,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15167.0,0.0,0.010944814399683523,5882.0,0.0,0.018531111866712004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1803.54,0.07749382876445367,0.0,65000.0,28.0,0.07324999999996407,26.5625,32.25,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,14972.0,0.0,0.011020571733903287,5867.0,0.0,0.018578489858530764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1863.58,0.0775328049889567,0.0,65000.0,28.0,0.06004999999996272,26.5625,32.3125,28.170000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15065.0,0.0,0.011018918021905078,5883.0,0.0,0.018187999320074793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1923.65,0.08141581135507339,0.0,65000.0,28.0,0.028849999999960116,26.5625,32.4375,28.250000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,15009.0,0.0,0.010860150576320874,5849.0,0.0,0.018293725423149255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
