Time,T 600,A8,A9,A10,A11,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,D2,D3,D4,D5,D6,D7,D8,D9,D10,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,H8,H9,H10,H11
0:29:10,28.0,0.0923,0.0872,0.0863,0.0873,0.1256,0.1214,0.1210,0.1147,0.1093,0.1096,0.0897,0.0975,0.0888,0.0888,0.1198,0.1214,0.1240,0.1099,0.1101,0.1079,0.0806,0.0799,0.0864,0.1179,0.1215,0.1242,0.1098,0.1088,0.1072,0.0780,0.0793,0.0786,0.1106,0.1135,0.1094,0.1281,0.1159,0.1132,0.0802,0.0852,0.0802,0.1073,0.1111,0.1107,0.1128,0.1220,0.1117,0.1105,0.1091,0.1094,0.1165,0.1210,0.1135,0.1745,0.1790,0.2772,0.2713,0.1770,0.1216,0.2058,0.1568
0:59:10,28.1,0.0923,0.0870,0.0862,0.0873,0.1248,0.1204,0.1209,0.1113,0.1064,0.1072,0.0896,0.0975,0.0886,0.0886,0.1191,0.1203,0.1236,0.1066,0.1058,0.1038,0.0803,0.0800,0.0907,0.1162,0.1206,0.1227,0.1066,0.1063,0.1037,0.0787,0.0798,0.0792,0.1093,0.1126,0.1086,0.1259,0.1133,0.1111,0.0812,0.0862,0.0806,0.1062,0.1098,0.1094,0.1104,0.1194,0.1091,0.1087,0.1079,0.1085,0.1148,0.1191,0.1121,0.1852,0.2018,0.3136,0.2927,0.2125,0.1270,0.2174,0.1706
1:29:10,28.1,0.0922,0.0869,0.0862,0.0872,0.1262,0.1248,0.1245,0.1086,0.1038,0.1044,0.0898,0.0974,0.0885,0.0887,0.1184,0.1194,0.1231,0.1035,0.1028,0.1018,0.0803,0.0784,0.0935,0.1175,0.1224,0.1239,0.1036,0.1033,0.1021,0.0790,0.0796,0.0786,0.1082,0.1117,0.1077,0.1276,0.1147,0.1127,0.0823,0.0856,0.0808,0.1052,0.1089,0.1082,0.1081,0.1178,0.1075,0.1075,0.1073,0.1074,0.1149,0.1205,0.1124,0.2026,0.2169,0.3316,0.3141,0.2288,0.1400,0.2337,0.1835
1:59:10,28.1,0.0926,0.0871,0.0864,0.0873,0.1290,0.1297,0.1293,0.1081,0.1032,0.1039,0.0898,0.0975,0.0886,0.0889,0.1180,0.1188,0.1224,0.1016,0.1010,0.1009,0.0800,0.0782,0.0957,0.1190,0.1250,0.1257,0.1028,0.1029,0.1014,0.0789,0.0799,0.0788,0.1078,0.1113,0.1070,0.1302,0.1173,0.1153,0.0821,0.0873,0.0820,0.1050,0.1079,0.1078,0.1066,0.1165,0.1065,0.1070,0.1065,0.1067,0.1173,0.1223,0.1139,0.2227,0.2278,0.3504,0.3279,0.2479,0.1619,0.2538,0.2019
2:29:10,28.1,0.0927,0.0872,0.0866,0.0875,0.1318,0.1335,0.1343,0.1079,0.1026,0.1038,0.0900,0.0976,0.0889,0.0891,0.1174,0.1182,0.1215,0.1006,0.0999,0.0994,0.0800,0.0785,0.0964,0.1212,0.1274,0.1280,0.1031,0.1029,0.1017,0.0791,0.0812,0.0799,0.1070,0.1105,0.1065,0.1336,0.1198,0.1177,0.0830,0.0867,0.0808,0.1043,0.1073,0.1077,0.1057,0.1157,0.1052,0.1062,0.1056,0.1059,0.1192,0.1247,0.1159,0.2449,0.2538,0.3709,0.3535,0.2704,0.1970,0.2818,0.2347
2:59:10,28.1,0.0931,0.0874,0.0869,0.0877,0.1368,0.1380,0.1416,0.1077,0.1022,0.1030,0.0901,0.0977,0.0890,0.0892,0.1165,0.1178,0.1208,0.0999,0.0996,0.0991,0.0801,0.0782,0.0981,0.1233,0.1287,0.1310,0.1034,0.1035,0.1022,0.0793,0.0812,0.0791,0.1063,0.1100,0.1057,0.1381,0.1235,0.1216,0.0820,0.0871,0.0809,0.1035,0.1066,0.1068,0.1051,0.1146,0.1048,0.1058,0.1053,0.1057,0.1215,0.1294,0.1206,0.2774,0.2832,0.3950,0.3818,0.2968,0.2292,0.3096,0.2704
3:29:10,28.1,0.0938,0.0877,0.0871,0.0881,0.1424,0.1459,0.1492,0.1077,0.1021,0.1029,0.0904,0.0980,0.0892,0.0895,0.1158,0.1169,0.1200,0.0998,0.0996,0.0989,0.0801,0.0781,0.0984,0.1272,0.1332,0.1357,0.1043,0.1041,0.1031,0.0790,0.0800,0.0807,0.1059,0.1096,0.1056,0.1428,0.1278,0.1262,0.0818,0.0869,0.0810,0.1034,0.1064,0.1066,0.1048,0.1144,0.1043,0.1053,0.1047,0.1049,0.1264,0.1349,0.1248,0.3158,0.3186,0.4266,0.4067,0.3249,0.2725,0.3583,0.3023
3:59:10,28.1,0.0945,0.0880,0.0873,0.0886,0.1462,0.1508,0.1567,0.1072,0.1017,0.1029,0.0907,0.0981,0.0895,0.0898,0.1152,0.1165,0.1194,0.0998,0.0995,0.0987,0.0801,0.0784,0.0990,0.1322,0.1372,0.1406,0.1057,0.1056,0.1044,0.0785,0.0809,0.0806,0.1055,0.1090,0.1053,0.1471,0.1324,0.1307,0.0817,0.0865,0.0810,0.1029,0.1058,0.1064,0.1052,0.1142,0.1043,0.1050,0.1044,0.1045,0.1314,0.1400,0.1290,0.3577,0.3566,0.4693,0.4446,0.3611,0.3212,0.3952,0.3485
4:29:10,28.0,0.0956,0.0885,0.0878,0.0890,0.1515,0.1574,0.1646,0.1072,0.1018,0.1028,0.0910,0.0983,0.0899,0.0901,0.1155,0.1162,0.1190,0.0996,0.0996,0.0988,0.0799,0.0782,0.0996,0.1352,0.1381,0.1452,0.1086,0.1080,0.1067,0.0793,0.0798,0.0804,0.1051,0.1085,0.1048,0.1530,0.1374,0.1346,0.0816,0.0867,0.0809,0.1025,0.1052,0.1060,0.1053,0.1140,0.1047,0.1044,0.1039,0.1041,0.1360,0.1456,0.1330,0.4011,0.4029,0.5112,0.4892,0.4158,0.3483,0.4453,0.3961
4:59:10,28.1,0.0966,0.0892,0.0884,0.0898,0.1551,0.1610,0.1688,0.1093,0.1024,0.1061,0.0916,0.0986,0.0904,0.0906,0.1148,0.1161,0.1184,0.1005,0.0995,0.0992,0.0801,0.0785,0.0993,0.1375,0.1407,0.1486,0.1127,0.1131,0.1113,0.0797,0.0819,0.0808,0.1047,0.1082,0.1041,0.1577,0.1421,0.1390,0.0817,0.0868,0.0809,0.1026,0.1050,0.1059,0.1058,0.1138,0.1049,0.1041,0.1035,0.1035,0.1386,0.1490,0.1355,0.4670,0.4687,0.5578,0.5332,0.4570,0.3966,0.4825,0.4462
