,exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
3,180.37,0.0488919959524937,0.3,12708.953121156275,28.0,0.437249999999994,27.375,31.8125,26.410000000000025,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1597.0,674.0,0.0,913.0,351.0,0.0,566.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.44,0.0791184375002792,0.3,12708.953121156275,28.0,0.3556499999999886,28.375,31.8125,27.05000000000001,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1587.0,669.0,0.0,918.0,350.0,0.0,570.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.48,0.0927273605237251,0.3,12708.953121156275,28.0,0.147999999999983,29.0625,31.875,27.750000000000057,0.0,0.0,0.25,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1578.0,668.0,0.0,921.0,351.0,0.0,574.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.52,0.105434426031262,0.3,12708.953121156275,28.0,0.2047499999999942,29.4375,31.875,27.750000000000057,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1581.0,667.0,0.0,912.0,349.0,0.0,578.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.6,0.0973845578549898,0.3,12708.953121156275,28.0,0.0933499999999835,29.625,32.0,28.010000000000048,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1575.0,666.0,0.0,922.0,347.0,0.0,575.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.65,0.1143521179744661,0.3,12708.953121156275,28.0,0.0947499999999922,29.6875,32.0,28.19000000000005,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1572.0,663.0,0.0,922.0,348.0,0.0,576.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.69,0.0915635814461669,0.3,12708.953121156275,28.0,0.0210499999999788,29.625,32.0625,28.430000000000007,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1577.0,663.0,0.0,921.0,353.0,0.0,579.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.76,0.0830147970193251,0.3,12708.953121156275,28.0,0.0,29.5625,32.125,28.470000000000027,0.0,0.0,0.25,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1576.0,663.0,0.0,926.0,353.0,0.0,583.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.82,0.0960925191565766,0.3,12708.953121156275,28.0,0.0,29.3125,32.125,28.33000000000004,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1577.0,662.0,0.0,931.0,355.0,0.0,584.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.9,0.0963419211261944,0.3,12708.953121156275,28.0,0.0,29.0,32.1875,28.31,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1580.0,666.0,0.0,930.0,354.0,0.0,582.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
