exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.0457387336422236,0.0,12708.953121156275,28.0,1.0,24.3125,31.6875,24.890000000000043,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1609.0,681.0,0.0,906.0,352.0,0.0,7603.0,23640.0,0.0,0.0,0.0,0.0,0.0,0.0
60.26,0.05800431194118082,0.3,12708.953121156275,28.0,1.0,25.125,31.75,24.750000000000057,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1602.0,679.0,0.0,911.0,351.0,0.0,7449.0,23438.0,0.0,0.0,0.0,0.0,0.0,0.0
120.3,0.039054799048836325,0.3,12708.953121156275,28.0,1.0,26.25,31.8125,25.430000000000007,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1592.0,672.0,0.0,914.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.37,0.04889199595249376,0.3,12708.953121156275,28.0,0.437249999999994,27.375,31.8125,26.410000000000025,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1597.0,674.0,0.0,913.0,351.0,0.0,566.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
240.44,0.0791184375002792,0.3,12708.953121156275,28.0,0.3556499999999886,28.375,31.8125,27.05000000000001,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1587.0,669.0,0.0,918.0,350.0,0.0,570.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
300.48,0.09272736052372514,0.3,12708.953121156275,28.0,0.14799999999998306,29.0625,31.875,27.750000000000057,0.0,0.0,0.25,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1578.0,668.0,0.0,921.0,351.0,0.0,574.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
360.52,0.10543442603126207,0.3,12708.953121156275,28.0,0.20474999999999427,29.4375,31.875,27.750000000000057,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1581.0,667.0,0.0,912.0,349.0,0.0,578.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0
420.6,0.09738455785498981,0.3,12708.953121156275,28.0,0.09334999999998358,29.625,32.0,28.010000000000048,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1575.0,666.0,0.0,922.0,347.0,0.0,575.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
480.65,0.1143521179744661,0.3,12708.953121156275,28.0,0.09474999999999226,29.6875,32.0,28.190000000000055,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1572.0,663.0,0.0,922.0,348.0,0.0,576.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
540.69,0.09156358144616697,0.3,12708.953121156275,28.0,0.02104999999997885,29.625,32.0625,28.430000000000007,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1577.0,663.0,0.0,921.0,353.0,0.0,579.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
600.76,0.08301479701932514,0.3,12708.953121156275,28.0,0.0,29.5625,32.125,28.470000000000027,0.0,0.0,0.25,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1576.0,663.0,0.0,926.0,353.0,0.0,583.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
660.82,0.09609251915657666,0.3,12708.953121156275,28.0,0.0,29.3125,32.125,28.33000000000004,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1577.0,662.0,0.0,931.0,355.0,0.0,584.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0
720.9,0.09634192112619445,0.3,12708.953121156275,28.0,0.0,29.0,32.1875,28.310000000000002,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1580.0,666.0,0.0,930.0,354.0,0.0,582.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
780.93,0.11428597735333731,0.3,12708.953121156275,28.0,0.0,28.75,32.25,28.430000000000007,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1580.0,667.0,0.0,929.0,356.0,0.0,586.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0
841.0,0.10294844303910222,0.3,12708.953121156275,28.0,0.0,28.5,32.25,28.470000000000027,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1579.0,666.0,0.0,929.0,353.0,0.0,585.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
901.06,0.10717469722721842,0.3,12708.953121156275,28.0,0.0,28.1875,32.3125,28.230000000000018,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1585.0,670.0,0.0,940.0,356.0,0.0,589.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
961.13,0.11559094715704103,0.3,12708.953121156275,28.0,0.0,28.0,32.375,28.190000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1587.0,669.0,0.0,941.0,359.0,0.0,588.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.19,0.1177801059951886,0.3,12708.953121156275,28.0,0.0,27.8125,32.4375,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1586.0,667.0,0.0,942.0,359.0,0.0,587.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.23,0.1115465726243362,0.3,12708.953121156275,28.0,0.0,27.625,32.4375,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1590.0,672.0,0.0,943.0,360.0,0.0,590.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
