exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,-0.09995674486973447,0.0,15600.0,28.0,0.10734999999998764,26.4375,34.375,27.670000000000016,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1492.0,603.0,0.0,433.0,192.0,0.0,314.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
60.24,-0.03731577444714531,0.0,15600.0,28.0,0.05944999999997521,26.4375,34.375,27.810000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1486.0,607.0,0.0,433.0,193.0,0.0,311.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
120.28,-0.07614552178989965,0.0,15600.0,28.0,0.02734999999997257,26.4375,34.375,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1492.0,610.0,0.0,433.0,194.0,0.0,317.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
180.35,-0.06389596241797885,0.0,15600.0,28.0,0.07824999999998311,26.4375,34.3125,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1494.0,606.0,0.0,432.0,192.0,0.0,316.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
240.42,-0.04159087880271062,0.0,15600.0,28.0,0.09834999999998331,26.5,34.1875,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1489.0,603.0,0.0,432.0,193.0,0.0,317.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
300.45,-0.04778599873299075,0.0,15600.0,28.0,0.13874999999997925,26.5,34.125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1489.0,605.0,0.0,442.0,197.0,0.0,314.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
360.52,-0.07962923648365298,0.0,15600.0,28.0,0.08734999999997171,26.5,34.25,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1491.0,610.0,0.0,435.0,192.0,0.0,319.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
420.6,-0.1060827885231339,0.0,15600.0,28.0,0.10334999999997564,26.625,34.25,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1482.0,608.0,0.0,432.0,193.0,0.0,316.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
480.66,-0.07689717931783197,0.0,15600.0,28.0,0.07804999999996852,26.6875,34.1875,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1483.0,606.0,0.0,440.0,194.0,0.0,318.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
540.73,-0.09881324373380616,0.0,15600.0,28.0,0.1331499999999795,26.75,34.0625,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1480.0,603.0,0.0,436.0,193.0,0.0,319.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
600.8,-0.08665561216057943,0.0,15600.0,28.0,0.05574999999997629,26.75,33.9375,28.190000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1483.0,603.0,0.0,432.0,193.0,0.0,320.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
660.88,-0.08078080593915049,0.0,15600.0,28.0,0.013649999999969395,26.75,34.0625,28.130000000000052,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1477.0,603.0,0.0,431.0,193.0,0.0,317.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
720.96,-0.07848979189791136,0.0,15600.0,28.0,0.08214999999997644,26.8125,34.0625,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1482.0,602.0,0.0,435.0,193.0,0.0,320.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
781.01,-0.062231162366020915,0.0,15600.0,28.0,0.07804999999996595,26.875,34.125,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1478.0,601.0,0.0,435.0,194.0,0.0,320.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
841.05,-0.06972878900647003,0.0,15600.0,28.0,0.09804999999997534,26.875,34.25,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1477.0,600.0,0.0,430.0,191.0,0.0,320.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
